;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование образовательных программ;Численность обучающихся по образовательным программам - всего, чел;Сетевая форма реализации образовательных программ численность обучающихся (из графы 3) по программам, реализуемым с использованием сетевой формы - всего, чел;Сетевая форма реализации образовательных программ число органи-заций, с которыми заключены дого-воры на реализа-цию образователь-ных программ с использованием сетевой формы, единиц , ед;Электронное обучение численность обучающихся (из графы 3) с применением электронного обучения , чел;Электронное обучение в том числе (из графы 6) с применением исключительно электронного обучения, чел;Дистанционные образовательные технологии численность обучающихся (из графы 3) с применением дистанционных образовательных технологий, чел;Дистанционные образовательные технологии в том числе (из графы 8) с применением исключительно дистанционных образовательных технологий, чел
1;Всего по образовательным программам (сумма строк 02, 12, 22, 32);283349;2288;;8461;197;13617;176
2;Образовательные программы начального общего образования;110811;801;5;3298;;4470;44
3;из них адаптированные;6436;60;2;115;;183;35
4;в том числе:           для глухих;4;;;;;;
5;для слабослышащих и позднооглохших;141;1;;1;;1;
6;для слепых;22;;;;;;
7;для слабовидящих;153;1;;2;;2;
8;с тяжелыми нарушениями речи;838;15;1;21;;16;
9;с нарушениями опорно-двигательного аппарата;403;3;;10;;38;26
10;с задержкой психического развития;4527;39;1;75;;107;3
11;с расстройствами аутистического спектра;348;1;;6;;19;6
12;Образовательные программы основного общего образования;144779;1077;8;4116;;7230;104
13;из них адаптированные;5379;20;3;102;;245;76
14;в том числе:           для глухих;6;;1;1;;;
15;для слабослышащих и позднооглохших;150;;;;;;
16;для слепых;39;;;;;;
17;для слабовидящих;159;1;1;1;;1;
18;с тяжелыми нарушениями речи;199;;;3;;3;
19;с нарушениями опорно-двигательного аппарата;384;;;7;;74;65
20;с задержкой психического развития;4311;19;1;90;;163;7
21;с расстройствами аутистического спектра;131;;;;;4;4
22;Образовательные программы среднего общего образования;21695;344;11;779;;1845;28
23;из них адаптированные;59;;;1;;23;22
24;в том числе:           для глухих;;;;;;;
25;для слабослышащих и позднооглохших;1;;;1;;1;
26;для слепых;4;;;;;;
27;для слабовидящих;13;;;;;;
28;с тяжелыми нарушениями речи;;;;;;;
29;с нарушениями опорно-двигательного аппарата;34;;;;;20;20
30;с задержкой психического развития;3;;;;;;
31;с расстройствами аутистического спектра;4;;;;;2;2
32;Программы образования обучающихся с умственной отсталостью (интеллектуальными нарушениями);6064;66;;268;197;72;
33;Справочно. Код по ОКЕИ: человек – 792  Из общей численности обучающихся (из графы 3 подраздела 1.3.) – лица, имеющие кохлеарные импланты и обучающиеся по программам:    начального общего образования (из строки 02);44;;;;;;
34;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;19;;;;;;
35;основного общего образования (из строки 12);41;;;;;;
36;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;21;;;;;;
37;среднего общего образования (из строки 22);3;;;;;;
38;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;;;;;;;
39;образования обучающихся с умственной отсталостью    (интеллектуальными нарушениями) (из строки 32);957;;;;;;
40;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;389;;;;;;
