;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателей;Всего  (сумма граф 4 - 17);1-й класс;1-й класс первого года обучения;1-й класс второго года обучения;2-й класс;3-й класс;4-й класс;5-й класс;6-й класс;7-й класс;8-й класс;9-й класс;10-й класс;11-й класс;12-й класс
1;Всего обучающихся, окончивших классы (сумма строк 02, 11);2719;192;31;48;230;282;312;333;322;318;296;343;11;1;
2;Численность обучающихся, окончивших данный класс – всего  (сумма строк 03–05) (сумма строк 06–10);2703;192;30;44;227;280;311;332;321;318;294;342;11;1;
3;в том числе (из строки 02) обучались:       очно;2684;190;30;44;224;280;306;330;321;318;291;338;11;1;
4;очно-заочно;2;;;;1;;;1;;;;;;;
5;заочно;17;2;;;2;;5;1;;;3;4;;;
6;в том числе (из строки 02)  по программам с нормативным    сроком освоения:       9 лет;2410;192;;;199;247;266;307;298;295;272;334;;;
7;10 лет;92;;15;7;11;2;9;14;8;9;;8;9;;
8;11 лет;50;;12;24;11;2;;;;;;;;1;
9;12 лет;112;;;;3;22;23;11;15;14;22;;2;;
10;13 лет;39;;3;13;3;7;13;;;;;;;;
11;Численность экстернов, окончивших данный класс (сумма строк 12–16);16;;1;4;3;2;1;1;1;;2;1;;;
12;в том числе по программам с нормативным сроком освоения:       9 лет;2;;;;;;;1;;;1;;;;
13;10 лет;3;;;;;;1;;1;;1;;;;
14;11 лет;;;;;;;;;;;;;;;
15;12 лет;;;;;;;;;;;;;;;
16;13 лет;11;;1;4;3;2;;;;;;1;;;
17;Из строки 11 – обучались:       в форме семейного образования;16;;1;4;3;2;1;1;1;;2;1;;;
18;по программам, не имеющим государственной аккредитации;;;;;;;;;;;;;;;
