;;;;
;;;;
;;;;
;;;;
;;;;
1;2;3;4;5
№ строки;Наименование показателей;Всего, человек;Из гр.3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 03, 40,41);1507;953;709
2;в том числе:       руководящие работники – всего;29;27;27.8
3;педагогические работники - всего (сумма строк 04, 27, 28, 32-39);952;726;512.2
4;в том числе:          учителя–всего (сумма строк 05-15, 20-26);786;613;431.9
5;в том числе:                учителя, осуществляющие деятельность по реализации                программ начального общего образования;60;60;46.9
6;русского языка и литературы;54;51;31.4
7;языка народов России и литературы;1;;0.5
8;истории, экономики, права, обществознания;56;37;25.1
9;информатики;43;22;22.9
10;физики;61;35;31.8
11;математики;54;51;37.3
12;химии;61;56;31.4
13;географии;26;21;15.7
14;биологии;35;33;14.7
15;иностранных языков;106;101;68.1
16;из них:                      английского языка;85;80;52.8
17;немецкого языка;16;16;12
18;французского языка;1;1;0.1
19;китайского языка;;;
20;физической культуры;63;23;40.8
21;труда (технологии);34;19;18.3
22;музыки и пения;47;42;18.4
23;изобразительного искусства, черчения;13;12;5
24;основ безопасности и защиты Родины;15;4;7
25;основ духовно-нравственной культуры народов России;1;1;
26;прочих предметов;56;45;38.6
27;учителя-логопеды;17;17;8
28;учителя-дефектологи;9;9;3.1
29;из них:                олигофренопедагог;;;
30;тифлопедагог;;;
31;сурдопедагог;;;
32;социальные педагоги;4;3;2
33;педагоги дополнительного образования;96;55;46.5
34;педагоги-психологи;13;13;6.9
35;воспитатели;9;3;7.5
36;мастера производственного обучения;;;
37;тьюторы;1;1;1
38;советники директора по воспитанию и взаимодействию          с детскими общественными объединениям;1;1;1
39;другие;16;11;16.8
40;учебно-вспомогательный персонал;122;60;38.3
41;иной персонал;404;140;155.6
42;из них:             ассистент(помощник);1;1;0.7
43;сурдопереводчик;;;
44;тифлосурдопереводчик;;;
45;Из общей численности педагогических работников (стр.03):    персонал, работающий в подразделениях (группах)    дошкольного образования;;;
46;из них воспитатели;;;
47;персонал , работающий в классах очно-заочного и заочного       обучения, учебно-консультационных пунктах;73;70;35.3
48;из них учителя;72;69;34.8
49;Из общей численности учителей (из строки 04 графы 3) - работники организаций - всего;83;;
50;Из общей численности мастеров производственного обучения (из строки 36 графы 3) - работники организаций – всего;;;
51;Из общей численности учителей-дефектологов (стр.28 гр.3) - учителя, имеющие специальное дефектологическое образование;1;;
52;Справочно. Код по ОКЕИ: человек – 792  Кроме того (кроме строки 01), численность медицинских работников (сумма строк 54-55);47;;
53;из них женщин;43;;
54;в том числе:          врачи всех специальностей;21;;
55;медицинские сестры;26;;
56;.Из строки 04 графы 3 – численность учителей, использующих в учебном процессе персональные компьютеры;340;;
