;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13
№ строки;Наименование показателей;Число ставок   по штату, единиц;Фактически занято, единиц всего;Фактически занято, единиц работниками списочного состава;Численность работников на начало предыдущего учебного года (без внешних совместителей и работавших по договорам гражданско-правового характера), человек;Принято работников, человек всего;Принято работников, человек из них выпускники: со средним про-фессиональным образованием по программам подготовки специалистов среднего звена;Принято работников, человек из них выпускники: с высшим образованием;Выбыло работников, человек всего;Выбыло работников, человек из них по собственному желанию;Численность работников на начало отчет- ного учебного года (без совместителей и работающих по договорам гражданско-правового характера), человек;Число вакантных должностей, единиц
1;Численность работников – всего (сумма строк 02, 06, 43,44);49942.52;49117.42;47601.73;34649;3727;583;697;4118;3935;34258;1665
2;в том числе:       руководящие работники – всего;2296.45;2264.55;2219;2077;152;7;39;187;179;2044;31
3;из них:             директор;669;665;665;666;39;1;9;48;43;663;5
4;заместители директора;1244.05;1220.6;1193.55;1078;85;3;22;101;99;1081;21
5;руководитель филиала;80.4;76.7;75.7;60;7;1;1;5;5;62;3
6;педагогические работники - всего (сумма строк 07, 30, 31, 35-42);33038.08;32887.97;31721.76;20435;2292;307;618;2526;2429;20192;430
7;в том числе:             учителя–всего (сумма строк 08-18, 23-29);29532.7;29523.52;28587.55;18438;1880;271;516;2192;2112;18111;292
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;7571.92;7571.64;7476.14;5685;471;140;83;571;545;5577;25
9;русского языка и литературы;3833.93;3832.79;3759.72;2303;241;11;76;282;273;2270;41
10;языка народов России и литературы;;;;2;;;;2;2;;
11;истории, экономики, права, обществознания;1986.09;1985.61;1935.33;1258;129;7;60;141;135;1246;12
12;информатики;616.3;616.02;584.2;402;45;9;15;67;64;382;11
13;физики;903.93;903.93;852.86;608;64;;22;62;61;608;19
14;математики;3306.12;3305.35;3223.51;1872;212;8;74;218;207;1860;50
15;химии;554.94;554.75;514.68;405;49;;13;59;54;398;11
16;географии;895.14;895.14;867.33;592;63;8;20;54;50;600;8
17;биологии;871.13;870.96;830.93;568;58;2;25;67;64;565;12
18;иностранных языков;2926.37;2926.37;2832.5;1778;202;15;62;237;233;1734;48
19;из них:                         английского языка;2221.85;2218.85;2145.94;1292;165;8;52;169;167;1282;45
20;немецкого языка;699.12;699.12;674.35;476;31;6;7;57;56;449;2
21;французского языка;5.32;5.32;5.22;3;1;;;1;1;3;
22;китайского языка;;;;;;;;;;;
23;физической культуры;1931.91;1931.63;1862.86;1356;140;31;27;191;187;1300;14
24;труда (технологии);1203.71;1203.65;1159.02;817;88;11;21;113;109;793;17
25;музыки и пения;523.9;522.9;480.94;329;41;16;5;48;48;323;11
26;изобразительного искусства, черчения;343.38;343.29;320.57;247;25;7;5;30;30;239;3
27;основ безопасности и защиты Родины;294.41;294.32;275.41;137;24;6;3;26;26;133;
28;основ духовно-нравственной культуры народов России;79;79;72.01;2;1;;;;;3;
