;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование показателей;"Всего  (сумма граф 4-6; сумма граф 7-9)";Из графы 3 обучающихся по образовательным программам начального общего образования (1–4 классы);Из графы 3 обучающихся по образовательным программам основного общего образования (5–9 классы);Из графы 3 обучающихся по образовательным программам среднего общего образования (10–11(12) классы);Из графы 3 обучаются очно;Из графы 3 обучаются очно-заочно;Из графы 3 обучаются заочно
1;Численность обучающихся, углубленно изучающих  учебные предметы - всего;9770;138;2844;6788;9769;1;
2;из них:        русский язык;436;;374;62;436;;
3;литературное чтение;;;;;;;
4;родной язык и (или) государственный язык       республики Российской Федерации;;;;;;;
5;литературное чтение на родном языке;;;;;;;
6;окружающий мир;;;;;;;
7;математика;4228;138;589;3501;4227;1;
8;изобразительное искусство;;;;;;;
9;музыка;;;;;;;
10;труд (технология);;;;;;;
11;физическая культура;;;;;;;
12;литература;392;;;392;392;;
13;родная литература;2;;;2;2;;
14;иностранный язык;655;;410;245;655;;
15;из них:              английский;655;;410;245;655;;
16;немецкий;;;;;;;
17;французский;;;;;;;
18;испанский;;;;;;;
19;другие европейские языки;;;;;;;
20;китайский;;;;;;;
21;другие восточные языки;;;;;;;
22;информатика;1438;;372;1066;1438;;
23;история;1185;;54;1131;1184;1;
24;обществознание;4131;;379;3752;4131;;
25;география;597;;312;285;597;;
26;физика;1542;;283;1259;1542;;
27;химия;1094;;335;759;1094;;
28;биология;1754;;642;1112;1754;;
29;основы безопасности и защиты Родины;;;;;;;
