;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);32;91;727;1250
2;в том числе       инженерные;1;11;25;210
3;медицинские;;5;;75
4;космические;;;;
5;педагогические;;46;;435
6;аграрные;4;2;50;4
7;предпринимательские;1;;20;
8;кадетские;8;8;161;156
9;IT-классы;;1;;34
10;другие;18;18;471;336
