;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
№ строки;Наименование показателей;Общая численность обучающихся (сумма граф  4, 7, 10);Численность обучающихся по программам начального общего образования – всего (1–4 классы);Численность обучающихся по программам из графы 4 девочки;Численность обучающихся по программам из графы 4 обучающиеся 1-х классов без оставленных на повторное обучение;Численность обучающихся по программам основного общего образования – всего (5-9 классы);Численность обучающихся по программам из графы 7 девочки;Численность обучающихся по программам из графы 7 обучающиеся 5-х классов без оставленных на повторное обучение;Численность обучающихся по программам среднего общего образования – всего (10-11(12) классы;Численность обучающихся по программам из графы 10 девочки;Численность обучающихся по программам из графы 10 обучающиеся 10-х классов без оставленных на повторное обучение;из них (из графы 3) обучающиеся по очно-заочной и заочной формам обучения*;из них (из графы 3) обучающиеся иностранные граждане;из них (из графы 3) из них (из гр. 14) девочки;из них (из графы 3) обучающиеся лица без гражданства
1;Всего;95138;38180;18561;8812;49713;24294;9966;7245;3752;3893;7;546;209;13
2;В том числе в возрасте (число полных лет на 1 января следующего календарного года):    5 лет;;;;;;;;;;;;;;
3;6 лет;783;783;415;769;;;;;;;;2;1;
4;7 лет;8419;8419;4106;7379;;;;;;;;55;11;
5;8 лет;9508;9508;4641;604;;;;;;;;78;41;4
6;9 лет;10006;9978;4939;39;28;8;18;;;;;74;32;
7;10 лет;9700;8658;4158;3;1042;569;964;;;;;54;27;2
8;11 лет;10050;741;270;1;9309;4618;7861;;;;1;59;21;2
9;12 лет;10189;61;23;;10128;4972;989;;;;;46;17;1
10;13 лет;9893;9;3;1;9884;4796;111;;;;1;61;20;2
11;14 лет;9802;1;;;9793;4785;12;8;7;8;;57;23;1
12;15 лет;9137;1;1;;8601;4211;6;535;307;501;;44;12;
13;16 лет;4442;1;;1;780;297;1;3661;1967;3117;3;11;3;1
14;17 лет;2864;1;;;91;28;1;2772;1440;164;2;5;1;
15;18 лет;82;;;;15;5;1;67;31;2;;;;
16;19 лет;22;;;;7;2;1;15;;6;;;;
17;20 лет;18;;;;4;1;1;14;;7;;;;
18;21 год;17;;;;;;;17;;11;;;;
19;22 года;16;;;;1;1;;15;;9;;;;
20;23 года;21;1;;1;1;;;19;;6;;;;
21;24 года;18;;;;1;;;17;;8;;;;
22;25 лет;12;;;;1;;;11;;7;;;;
23;26 лет;14;;;;1;1;;13;;3;;;;
24;27 лет;20;;;;4;;;16;;13;;;;
25;28 лет;17;;;;2;;;15;;8;;;;
26;29 лет;19;2;1;;3;;;14;;9;;;;
27;30–34 года;26;4;1;3;4;;;18;;11;;;;
28;35–39 лет;23;6;1;5;5;;;12;;2;;;;
29;40 лет и старше;20;6;2;6;8;;;6;;1;;;;
*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05
