;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
№ строки;Наименование показателей;Всего, человек;Из них (из графы 3) имеют образование: Высшее;Из них (из графы 3) имеют образование: из них (графы 4) педагогическое;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень доктора наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень кандидата наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание профессора;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание доцента;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки специалистов среднего звена;Из них (из графы 3) имеют образование: из них  (графы 10) педагогическое;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки квалифициро-ванных рабочих служащих;Из графы 3 имеют квалификационные категории высшую;Из графы 3 имеют квалификационные категории первую;Из графы 3 имеют квалификационные категории педагог-методист;Из графы 3 имеют квалификационные категории педагог-наставник;Из графы 3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 06, 43, 44);12712;6711;6260;3;12;;6;3177;1619;1151;1768;1764;1;3;11190;
2;в том числе:       руководящие работники – всего;763;711;650;;1;;;41;18;3;106;107;1;;696;
3;из них:             директор;281;274;251;;1;;;1;1;;34;36;;;244;
4;заместители директора;449;404;354;;;;;31;12;2;63;54;1;;425;
5;руководитель филиала;23;20;20;;;;;2;1;;2;7;;;19;
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);7492;5700;5527;3;11;;6;1682;1566;14;1657;1650;;3;6864;2435.1
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);6349;5008;4887;3;10;;6;1277;1204;8;1515;1506;;2;5808;2083.8
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;1978;1278;1264;;;;;685;659;1;477;445;;;1969;791.2
9;русского языка и литературы;743;695;692;;2;;;46;46;;235;192;;;737;
10;языка народов России и литературы;3;2;2;;;;;1;1;;1;;;;3;
11;истории, экономики, права, обществознания;392;378;369;2;;;1;12;11;;99;79;;1;341;
12;информатики;163;138;129;;1;;1;19;14;;35;43;;;127;
13;физики;223;214;210;;1;;;8;7;;40;68;;;191;
14;математики;566;537;520;;3;;2;24;24;;92;157;;;539;
15;химии;166;161;155;;1;;1;3;3;;52;35;;1;161;
16;географии;220;204;197;1;;;1;10;10;2;49;59;;;202;
17;биологии;178;170;168;;;;;7;6;;55;33;;;170;
18;иностранных языков;596;551;539;;2;;;40;37;;119;164;;;568;
19;из них:                         английского языка;564;514;495;;2;;;38;35;;109;147;;;536;
20;немецкого языка;13;13;12;;;;;;;;2;3;;;13;
21;французского языка;5;5;4;;;;;;;;;2;;;5;
22;китайского языка;9;9;8;;;;;;;;;1;;;9;
23;физической культуры;450;262;258;;;;;183;177;1;117;109;;;269;
24;труда (технологии);302;204;184;;;;;90;70;3;64;63;;;222;
25;музыки и пения;112;39;35;;;;;72;64;;22;18;;;108;
26;изобразительного искусства, черчения;106;66;63;;;;;37;36;1;25;14;;;103;
27;основ безопасности и защиты Родины;94;69;63;;;;;23;22;;22;19;;;43;
28;основ духовно-нравственной культуры народов России;3;3;3;;;;;;;;3;;;;3;
29;прочих предметов;54;37;36;;;;;17;17;;8;8;;;52;
30;учителя-логопеды;79;71;71;;;;;7;7;;13;9;;;79;21.8
31;учителя-дефектологи;62;48;47;;;;;13;13;;7;10;;;62;10.5
32;из них:                   олигофренопедагог;30;16;13;;;;;6;6;;;1;;;30;3.5
33;тифлопедагог;4;4;4;;;;;;;;2;2;;;4;
34;сурдопедагог;6;6;6;;;;;;;;3;2;;;6;
35;социальные педагоги;90;63;57;;;;;27;21;;11;10;;;90;33.5
36;педагоги дополнительного образования;109;79;67;;;;;25;15;1;18;12;;;78;45.5
37;педагоги-психологи;126;114;108;;1;;;11;8;;15;16;;1;121;47
38;воспитатели;423;160;151;;;;;244;236;3;63;62;;;402;120.3
39;мастера производственного обучения;16;8;7;;;;;5;2;1;;1;;;2;6
40;тьюторы;25;13;13;;;;;12;10;;;1;;;25;6
41;советники директора по воспитанию и взаимодействию             с детскими общественными объединениям;75;53;49;;;;;16;10;;5;10;;;69;24.8
42;другие;138;83;70;;;;;45;40;1;10;13;;;128;53
43;учебно-вспомогательный персонал;515;102;45;;;;;166;13;129;5;4;;;471;
