;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
№ строки;Наименование показателей;Всего (сумма граф 4, 6, 8, 10, 12, 14, 16,  18, 20, 22);Число полных лет  по состоянию на 1 января 20_ года моложе 25 лет всего;Число полных лет  по состоянию на 1 января 20_ года моложе 25 лет из них женщины;Число полных лет  по состоянию на 1 января 20_ года 25–29 всего;Число полных лет  по состоянию на 1 января 20_ года 25–29 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 30–34 всего;Число полных лет  по состоянию на 1 января 20_ года 30–34 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 35–39 всего;Число полных лет  по состоянию на 1 января 20_ года 35–39 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 40–44 всего;Число полных лет  по состоянию на 1 января 20_ года 40–44 из них женщины;45–49 всего;45–49 из них женщины;50–54 всего;50–54 из них женщины;55–59 всего;55–59 из них женщины;60–64 всего;60–64 из них женщины;65 и более всего;65 и более из них женщины
1;Численность работников – всего (сумма строк 02, 06, 43,44);12712;698;596;667;602;949;872;1400;1295;1451;1322;1682;1529;1829;1626;1642;1438;1331;1079;1063;831
2;в том числе:       руководящие работники – всего;763;1;1;20;19;35;32;71;60;94;88;123;114;152;144;117;109;100;86;50;43
3;из них:             директор;281;;;5;4;5;3;23;16;29;26;41;38;61;56;44;39;45;37;28;25
4;заместители директора;449;1;1;15;15;29;28;45;41;64;61;76;70;86;84;67;65;46;43;20;17
5;руководитель филиала;23;;;;;;;3;3;;;3;3;4;3;6;5;5;4;2;1
6;педагогические работники - всего (сумма строк 07, 30, 31, 35-42);7492;608;527;518;465;631;586;758;707;715;663;861;799;1024;949;970;907;800;714;607;547
7;в том числе:             учителя–всего (сумма строк 08-18, 23-29);6349;515;438;439;393;492;455;602;554;601;559;727;675;871;810;857;803;700;631;545;490
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;1978;199;195;148;145;145;144;162;162;171;170;216;216;329;329;312;312;184;184;112;112
9;русского языка и литературы;743;27;27;45;44;61;60;69;68;56;56;104;103;130;130;85;84;92;91;74;74
10;языка народов России и литературы;3;1;1;;;;;;;;;1;1;1;1;;;;;;
11;истории, экономики, права, обществознания;392;40;29;27;21;35;33;43;38;21;19;52;46;57;50;52;47;38;32;27;26
12;информатики;163;14;7;18;15;29;22;33;26;19;14;16;16;17;13;9;8;4;2;4;4
13;физики;223;8;7;14;11;10;9;15;13;22;20;22;20;24;20;39;31;37;35;32;25
14;математики;566;37;31;39;37;41;39;40;35;57;57;61;60;61;56;72;71;70;69;88;84
15;химии;166;10;10;6;5;8;8;10;9;17;17;11;10;16;16;33;33;20;20;35;33
16;географии;220;12;7;13;11;11;9;18;16;20;19;26;25;35;33;38;37;27;25;20;20
17;биологии;178;12;9;14;14;10;9;9;9;17;15;20;20;31;29;29;29;17;17;19;19
18;иностранных языков;596;49;42;41;37;71;67;98;95;81;79;54;51;35;34;64;61;61;61;42;41
19;из них:                         английского языка;564;45;38;38;34;66;62;94;91;80;78;54;51;34;33;60;57;55;55;38;37
20;немецкого языка;13;2;2;1;1;2;2;;;;;;;;;1;1;5;5;2;2
21;французского языка;5;1;1;;;1;1;;;;;;;;;1;1;;;2;2
22;китайского языка;9;1;1;2;2;1;1;4;4;;;;;1;1;;;;;;
23;физической культуры;450;58;35;27;15;38;30;55;40;58;40;46;31;48;25;41;24;42;14;37;15
24;труда (технологии);302;19;15;10;7;15;9;22;18;31;25;49;37;40;32;30;23;60;42;26;14
25;музыки и пения;112;4;4;8;8;6;6;8;7;9;9;15;14;19;19;21;21;14;12;8;8
