;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;407
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;399
3;Коллегиальные органы управления;381
4;в том числе:       общее собрание;315
5;педагогический совет;371
6;попечительский совет;19
7;управляющий совет;67
8;наблюдательный совет;29
9;другие;102
10;Советы обучающихся;284
11;Советы родителей;264
12;Профессиональные союзы работников;292
13;из строки 03 с участием общественности (родителей, работодателей);211
14;Организация реализует профориентационный минимум;316
15;в том числе:       на базовом уровне;171
16;на основном уровне;145
17;на продвинутом уровне;15
