;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателя;Всего  (сумма граф 4 - 17);1-й класс;1-й класс первого года обучения;1-й класс второго года обучения;2-й класс;3-й класс;4-й класс;5-й класс;6-й класс;7-й класс;8-й класс;9-й класс;10-й класс;11-й класс;12-й класс
1;Число классов с нормативным сроком освоения программ 9 лет, ед.;118;8;;;10;12;12;9;12;17;18;20;;;
2;В них обучающихся, чел.;481;24;;;37;40;60;43;55;69;74;79;;;
3;Число классов с нормативным сроком освоения программ 10 лет, ед.;58;;5;7;4;6;5;4;7;7;9;3;1;;
4;В них обучающихся, чел.;335;;17;30;31;32;36;33;47;33;62;5;9;;
5;Число классов с нормативным сроком освоения программ 11 лет, ед.;51;4;3;3;4;5;2;6;5;4;4;5;3;3;
6;В них обучающихся, чел.;304;30;5;8;32;27;17;37;28;37;23;22;23;15;
7;Число классов с нормативным сроком освоения программ 12 лет, ед.;87;9;;;7;6;7;9;8;7;6;7;10;7;4
8;В них обучающихся, чел.;611;53;;;41;66;57;77;74;52;43;59;48;36;5
9;Число классов с нормативным сроком освоения программ 13 лет, ед.;49;;5;4;4;4;7;6;6;5;4;;1;2;1
10;В них обучающихся, чел.;178;;17;14;20;14;24;30;18;19;16;;3;2;1
11;Итого классов для обучающихся с умственной отсталостью (интеллектуальными нарушениями), ед. (сумма строк 01, 03, 05, 07, 09);363;21;13;14;29;33;33;34;38;40;41;35;15;12;5
12;"В них обучающихся, чел. (сумма строк 02, 04, 06, 08, 10;    сумма строк 13-15)";1909;107;39;52;161;179;194;220;222;210;218;165;83;53;6
13;в том числе обучаются:          очно;1909;107;39;52;161;179;194;220;222;210;218;165;83;53;6
14;очно-заочно;;;;;;;;;;;;;;;
15;заочно;;;;;;;;;;;;;;;
16;из них (из строки 12):       воспитанники (без приходящих учащихся);159;12;;;9;8;22;21;17;18;23;26;2;1;
17;девочки;700;52;19;18;61;56;68;78;77;74;77;56;38;22;4
18;лица с ограниченными возможностями здоровья;1907;107;39;52;161;179;194;220;222;210;216;165;83;53;6
19;из них (из строки 18):             инвалиды;61;;;;;;;;1;;9;25;13;12;1
20;дети-инвалиды;1152;72;26;37;99;125;117;149;136;127;106;67;53;33;5
21;инвалиды (кроме учтенных в строке 19);;;;;;;;;;;;;;;
22;дети-инвалиды (кроме учтенных в строке 20);;;;;;;;;;;;;;;
23;дети-сироты и дети, оставшиеся без попечения родителей;51;3;;;3;4;9;3;2;9;7;6;4;1;
24;из них воспитанники (без приходящих учащихся);9;;;;;;1;1;;2;;2;2;1;
25;обучающиеся иностранные граждане;;;;;;;;;;;;;;;
26;из них девочки;;;;;;;;;;;;;;;
27;обучающиеся лица без гражданства;;;;;;;;;;;;;;;
