;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);26;136;524;1431
2;в том числе       инженерные;8;6;189;178
3;медицинские;1;38;12;321
4;космические;;;;
5;педагогические;5;73;86;619
6;аграрные;;;;
7;предпринимательские;;2;;20
8;кадетские;9;4;161;87
9;IT-классы;1;1;26;26
10;другие;2;12;50;180
