;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
№ строки;Наименование показателя;"Всего сумма граф 4 - 16; сумма граф 20-22";В том числе 1-й класс;В том числе 2-й класс;В том числе 3-й класс;В том числе 4-й класс;В том числе 5-й класс;В том числе 6-й класс;В том числе 7-й класс;В том числе 8-й класс;В том числе 9-й класс;В том числе 10-й класс;В том числе 11-й класс (выпускной);В том числе 11-й класс;В том числе 12-й класс;Из графы 3 инвалиды;Из графы 3 дети-инвалиды;Из графы 3 с умственной отсталостью;В том числе обучаются (из гр.3) очно;В том числе обучаются (из гр.3) очно-заочно;В том числе обучаются (из гр.3) заочно
1;Число классов, имеющих в своем составе лиц с ограниченными возможностями здоровья, ед.;2178;215;245;267;290;199;232;218;239;240;19;12;;2;;;;;;
2;В них обучающихся (всего), чел.;44944;4269;4898;5437;5960;4204;4816;4523;5003;5058;477;272;7;20;;;;;;
3;из них (из строки 02) лица с ограниченными       возможностями здоровья:          глухие;1;;;1;;;;;;;;;;;1;;;1;;
4;слабослышащие;61;;6;5;8;4;3;10;9;10;6;;;;;40;1;61;;
5;позднооглохшие;;;;;;;;;;;;;;;;;;;;
6;слепые;3;;;2;;;;;;;;1;;;;3;;3;;
7;слабовидящие;92;12;9;9;9;14;7;6;10;10;1;5;;;;34;;89;1;2
8;с тяжелыми нарушениями речи;966;191;184;202;182;49;48;48;21;41;;;;;2;17;;966;;
9;с нарушением опорно-двигательного аппарата;129;9;12;9;6;14;20;13;19;18;8;1;;;3;114;1;127;1;1
10;с задержкой психического развития;2348;215;224;272;296;196;277;286;293;288;;1;;;3;77;13;2293;48;7
11;с умственной отсталостью (интеллектуальными          нарушениями);271;24;30;18;30;38;45;22;32;30;;2;;;2;124;;264;7;
12;с расстройствами аутистического спектра;47;9;6;6;7;1;5;6;3;3;1;;;;;35;;47;;
13;со сложными дефектами;8;;1;2;;1;;;3;1;;;;;;8;;8;;
14;с иными ограниченными возможностями          здоровья;194;26;25;15;30;12;18;11;21;21;7;6;;2;1;137;;191;3;
