;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
№ строки;Наименование показателей;"Всего обу-чающихся (сумма граф 4,10; сумма граф 16-18)";Все классы, кроме классов для обучающихся  с ограниченными возможностями здоровья Всего;Все классы, кроме классов для обучающихся  с ограниченными возможностями здоровья Из них (из гр. 4) лица с огра- ниченными возможностя- ми здоровья;Все классы, кроме классов для обучающихся  с ограниченными возможностями здоровья Из них (из гр. 4) из них (из гр. 5): инвалиды;Все классы, кроме классов для обучающихся  с ограниченными возможностями здоровья Из них (из гр. 4) из них (из гр. 5): дети-инвалиды;Все классы, кроме классов для обучающихся  с ограниченными возможностями здоровья Из них (из гр. 4) инвалиды  (кроме учтенных в гр. 6);Все классы, кроме классов для обучающихся  с ограниченными возможностями здоровья Из них (из гр. 4) дети-инвали- ды (кроме учтенных в гр. 7);Классы для обучающихся с ограниченными возможностями здоровья Всего;Классы для обучающихся с ограниченными возможностями здоровья Из них (из гр. 10) лица с огра- ниченными возможностя- ми здоровья;Классы для обучающихся с ограниченными возможностями здоровья Из них (из гр. 10) из них (из гр. 11): инвалиды;Классы для обучающихся с ограниченными возможностями здоровья Из них (из гр. 10) из них (из гр. 11): дети-инвалиды;Классы для обучающихся с ограниченными возможностями здоровья Из них (из гр. 10) инвалиды  (кроме учтенных в гр. 12);Классы для обучающихся с ограниченными возможностями здоровья Из них (из гр. 10) дети-инвали- ды (кроме учтенных в  гр. 13);В том числе обучающихся (из гр.3) очно;В том числе обучающихся (из гр.3) очно-заочно;В том числе обучающихся (из гр.3) заочно
1;Численность обучающихся – всего;124226;120083;4120;12;589;29;925;4143;4135;68;1396;;;123025;1099;102
2;из них обучаются:       по программам, реализуемым с использованием сетевой формы;672;672;1;;1;;4;;;;;;;672;;
3;с применением электронного обучения;796;796;20;;4;;7;;;;;;;796;;
4;с применением дистанционных образовательных технологий;809;807;28;1;11;;8;2;2;;2;;;808;1;
5;по индивидуальным учебным планам;1357;1145;767;3;126;9;31;212;191;2;117;;;1350;7;
6;на дому;669;319;226;5;136;2;33;350;308;4;288;;;665;4;
7;в медицинской организации;1;1;;;;;;;;;;;;1;;
8;из суммы строк 06 и 07:             с применением дистанционных образовательных технологий             (из строки 04);9;7;5;;5;;;2;2;;2;;;9;;
9;по индивидуальным учебным планам (из строки 05);101;57;36;2;23;;13;44;23;;22;;;99;2;
