;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателей;Всего  (сумма граф 4 - 17);1-й класс;1-й класс первого года обучения;1-й класс второго года обучения;2-й класс;3-й класс;4-й класс;5-й класс;6-й класс;7-й класс;8-й класс;9-й класс;10-й класс;11-й класс;12-й класс
1;Всего обучающихся, окончивших классы (сумма строк 02, 11);1913;119;60;66;149;206;196;209;209;195;135;244;80;42;3
2;Численность обучающихся, окончивших данный класс – всего  (сумма строк 03–05) (сумма строк 06–10);1912;119;60;66;149;206;196;209;209;195;135;243;80;42;3
3;в том числе (из строки 02) обучались:       очно;1912;119;60;66;149;206;196;209;209;195;135;243;80;42;3
4;очно-заочно;;;;;;;;;;;;;;;
5;заочно;;;;;;;;;;;;;;;
6;в том числе (из строки 02)  по программам с нормативным    сроком освоения:       9 лет;1030;91;;;74;143;100;114;115;114;102;177;;;
7;10 лет;343;;31;29;29;27;38;40;31;43;11;19;45;;
8;11 лет;259;27;7;11;26;10;20;26;24;18;14;29;19;28;
9;12 лет;31;1;;;;1;7;3;2;1;2;2;1;9;2
10;13 лет;249;;22;26;20;25;31;26;37;19;6;16;15;5;1
11;Численность экстернов, окончивших данный класс (сумма строк 12–16);1;;;;;;;;;;;1;;;
12;в том числе по программам с нормативным сроком освоения:       9 лет;;;;;;;;;;;;;;;
13;10 лет;;;;;;;;;;;;;;;
14;11 лет;;;;;;;;;;;;;;;
15;12 лет;;;;;;;;;;;;;;;
16;13 лет;1;;;;;;;;;;;1;;;
17;Из строки 11 – обучались:       в форме семейного образования;1;;;;;;;;;;;1;;;
18;по программам, не имеющим государственной аккредитации;;;;;;;;;;;;;;;
