;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
№ строки;Наименование показателей;Всего, человек;Из них (из графы 3) имеют образование: Высшее;Из них (из графы 3) имеют образование: из них (графы 4) педагогическое;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень доктора наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень кандидата наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание профессора;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание доцента;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки специалистов среднего звена;Из них (из графы 3) имеют образование: из них  (графы 10) педагогическое;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки квалифициро-ванных рабочих служащих;Из графы 3 имеют квалификационные категории высшую;Из графы 3 имеют квалификационные категории первую;Из графы 3 имеют квалификационные категории педагог-методист;Из графы 3 имеют квалификационные категории педагог-наставник;Из графы 3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 06, 43, 44);21402;10629;9180;1;19;1;4;6575;3034;2310;3231;3616;15;28;18548;
2;в том числе:       руководящие работники – всего;1342;1192;842;;5;;2;124;24;7;84;58;1;3;1217;
3;из них:             директор;295;288;255;;3;;1;3;2;;31;26;;3;245;
4;заместители директора;823;741;520;;2;;1;66;12;2;48;26;1;;753;
5;руководитель филиала;53;42;35;;;;;11;7;;3;3;;;49;
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);12026;8622;8227;1;14;1;2;3188;2889;67;3142;3553;14;25;11013;10620.8
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);8380;6778;6574;1;12;1;2;1507;1410;33;2591;2655;12;17;7562;8480.5
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;2522;1670;1639;;;;;821;798;16;771;850;1;9;2515;2522.1
9;русского языка и литературы;1010;926;913;;5;;1;75;73;3;348;313;2;3;994;
10;языка народов России и литературы;;;;;;;;;;;;;;;;
11;истории, экономики, права, обществознания;530;495;484;1;2;1;1;31;28;;170;167;1;3;410;
12;информатики;201;184;169;;;;;13;9;1;68;68;;;146;
13;физики;257;248;242;;1;;;9;7;;81;89;;;197;
14;математики;833;790;768;;;;;38;36;;273;272;2;2;792;
15;химии;201;194;186;;;;;3;3;;82;50;2;;187;
16;географии;263;246;243;;;;;16;13;;94;85;;;247;
17;биологии;245;237;229;;1;;;8;7;;89;75;1;;235;
18;иностранных языков;931;852;830;;2;;;72;64;1;256;305;3;;907;
19;из них:                         английского языка;845;753;734;;2;;;60;53;1;221;257;3;;822;
20;немецкого языка;63;57;56;;;;;6;5;;21;24;;;62;
21;французского языка;9;9;8;;;;;;;;4;2;;;9;
22;китайского языка;;;;;;;;;;;;;;;;
23;физической культуры;587;413;400;;1;;;163;151;4;151;176;;;323;
24;труда (технологии);376;250;230;;;;;112;90;8;97;110;;;249;
25;музыки и пения;147;78;72;;;;;67;64;;52;35;;;145;
26;изобразительного искусства, черчения;89;57;49;;;;;29;26;;25;24;;;87;
27;основ безопасности и защиты Родины;81;64;51;;;;;17;11;;18;15;;;26;
28;основ духовно-нравственной культуры народов России;4;4;2;;;;;;;;1;;;;2;
29;прочих предметов;103;70;67;;;;;33;30;;15;21;;;100;
30;учителя-логопеды;290;276;272;;1;;;10;10;;95;62;1;1;289;258.9
31;учителя-дефектологи;85;77;76;;;;;6;6;1;22;20;;;85;84
32;из них:                   олигофренопедагог;17;13;13;;;;;3;3;;2;6;;;17;13
33;тифлопедагог;3;3;2;;;;;;;;1;1;;;3;6
34;сурдопедагог;12;12;12;;;;;;;;11;;;;12;17
35;социальные педагоги;225;166;141;;;;;56;43;1;31;47;;1;223;211
36;педагоги дополнительного образования;332;163;134;;1;;;160;106;4;51;74;;2;230;291.2
37;педагоги-психологи;269;256;240;;;;;11;9;;56;50;;;261;235.9
38;воспитатели;1727;511;468;;;;;1151;1093;22;217;537;;3;1710;1390.6
39;мастера производственного обучения;19;4;2;;;;;13;4;2;;4;;;1;12
40;тьюторы;49;32;31;;;;;16;16;;;4;;;49;44.5
41;советники директора по воспитанию и взаимодействию             с детскими общественными объединениям;131;85;72;;;;;39;37;1;7;14;;;123;84.5
42;другие;519;274;217;;;;;219;155;3;72;86;1;1;480;423.9
43;учебно-вспомогательный персонал;2083;482;80;;;;;977;72;355;5;3;;;1894;
44;иной персонал;5951;333;31;;;;;2286;49;1881;;2;;;4424;
45;из них:             ассистент (помощник);20;1;;;;;;12;5;3;;;;;19;21.1
46;сурдопереводчик;;;;;;;;;;;;;;;;6
47;тифлосурдопереводчик;;;;;;;;;;;;;;;;
48;Из общей численности педагогических работников (строка 06):             персонал, работающий в подразделениях (группах)             дошкольного образования;1554;459;423;;;;;947;865;13;231;433;;2;1550;
49;из них воспитатели;1271;287;257;;;;;854;789;13;152;363;;2;1269;
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;131;106;103;;;;;7;5;;30;39;;;105;
51;из них учителя;120;97;95;;;;;7;5;;26;39;;;96;
52;персонал, работающий в отдельных классах для             обучающихся с ограниченными возможностями здоровья;677;548;536;;1;;;106;94;1;114;131;1;;512;
53;из них учителя - всего;518;401;390;;1;;;83;73;1;76;102;1;;372;
54;из них учителя, осуществляющие деятельность по                    реализации программ начального общего образования;159;109;108;;;;;46;43;;12;34;;;125;
55;персонал, получающий надбавки за работу с лицами с             ограниченными возможностями здоровья, находящимися             на совместном обучении;984;763;743;;2;;;179;158;1;200;206;;;745;
56;Из общей численности учителей-дефектологов (строка 31 графа 3) - учителя, имеющие специальное дефектологическое образование;45;41;;;;;;;;;;;;;;
57;Справочно. Код по ОКЕИ: человек – 792  Численность руководителей (из стр. 02, гр. 03), прошедших в течение последних трех лет повышение квалификации и (или) профессиональную переподготовку;929;;;;;;;;;;;;;;;
58;из них директор;255;;;;;;;;;;;;;;;
59;Численность педагогических работников (из стр. 06, гр. 03), прошедших в течение последних трех лет повышение квалификации и (или) профессиональную переподготовку;10060;;;;;;;;;;;;;;;
60;из них учителя;6957;;;;;;;;;;;;;;;
61;Кроме того (кроме стр. 01, гр. 03), численность медицинских работников (сумма строк 63, 64);79;;;;;;;;;;;;;;;
62;из них женщин;71;;;;;;;;;;;;;;;
63;в том числе:          врачи всех специальностей;9;;;;;;;;;;;;;;;
64;медицинские сестры;70;;;;;;;;;;;;;;;
65;Из строки 07 графы 3 численность учителей, использующих в учебном процессе персональные компьютеры;7498;;;;;;;;;;;;;;;
66;Из строки 06 графы 3 численность педагогических работников, осуществляющих классное руководство;6045;;;;;;;;;;;;;;;
67;в том числе:       осуществляющих классное руководство в одном классе;5851;;;;;;;;;;;;;;;
68;осуществляющих классное руководство в двух и более класса;194;;;;;;;;;;;;;;;
