;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13
№ строки;Наименование показателей;Число ставок   по штату, единиц;Фактически занято, единиц всего;Фактически занято, единиц работниками списочного состава;Численность работников на начало предыдущего учебного года (без внешних совместителей и работавших по договорам гражданско-правового характера), человек;Принято работников, человек всего;Принято работников, человек из них выпускники: со средним про-фессиональным образованием по программам подготовки специалистов среднего звена;Принято работников, человек из них выпускники: с высшим образованием;Выбыло работников, человек всего;Выбыло работников, человек из них по собственному желанию;Численность работников на начало отчет- ного учебного года (без совместителей и работающих по договорам гражданско-правового характера), человек;Число вакантных должностей, единиц
1;Численность работников – всего (сумма строк 02, 06, 43,44);27771.05;26378.96;24982.69;21674;2626;687;757;2898;2627;21402;442
2;в том числе:       руководящие работники – всего;1506.12;1421.44;1394.79;1370;154;9;66;185;170;1342;31
3;из них:             директор;308;294;288.5;299;15;1;8;25;21;295;2
4;заместители директора;956.13;889.95;856.55;826;104;6;43;116;111;823;23
5;руководитель филиала;56.65;52.15;52.15;42;8;;2;7;6;53;2
6;педагогические работники - всего (сумма строк 07, 30, 31, 35-42);16728.67;16011.82;15020.75;12056;1545;316;623;1561;1448;12026;251
7;в том числе:             учителя–всего (сумма строк 08-18, 23-29);11821.7;11513.06;10778.5;8439;981;170;442;1019;945;8380;123
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;2982.81;2930.99;2859.66;2580;253;84;80;297;267;2522;6
9;русского языка и литературы;1514.63;1477.96;1387.19;1008;119;9;68;111;106;1010;17
10;языка народов России и литературы;1.49;1.49;1.49;;;;;;;;
11;истории, экономики, права, обществознания;775.36;757.77;713.92;529;74;2;41;72;68;530;7
12;информатики;294.48;284.78;262.73;207;20;2;7;24;18;201;1
13;физики;373;360.49;330.79;265;23;2;13;29;26;257;12
14;математики;1302.88;1266.45;1168.99;814;101;3;58;91;85;833;26
15;химии;243.46;235.24;218.56;202;24;1;11;19;18;201;6
16;географии;361.66;348.9;323.57;266;29;5;15;30;25;263;3
17;биологии;356.97;348.82;326.54;234;36;;28;31;30;245;1
18;иностранных языков;1302.37;1271.09;1193.55;949;120;10;62;136;132;931;19
19;из них:                         английского языка;1163.43;1127.05;1045.08;848;101;9;49;113;107;845;17
20;немецкого языка;77;76.53;72.18;70;6;;5;10;10;63;1
21;французского языка;8.92;8.92;8.92;11;1;;;2;2;9;
22;китайского языка;;;;;;;;;;;
23;физической культуры;751.7;736.51;684.82;594;76;30;27;85;80;587;3
24;труда (технологии);515.18;501.53;458.89;372;39;9;11;33;32;376;6
25;музыки и пения;214.8;208.8;194.16;148;19;3;7;23;22;147;1
26;изобразительного искусства, черчения;135.69;131.51;122.77;99;4;1;2;13;12;89;
27;основ безопасности и защиты Родины;129.38;123.07;113.72;86;11;4;4;11;11;81;4
28;основ духовно-нравственной культуры народов России;32.62;31.46;24.55;2;3;1;;;;4;
29;прочих предметов;533.22;496.2;392.6;84;30;4;8;14;13;103;11
30;учителя-логопеды;389.64;350.54;327.34;264;44;4;26;24;21;290;14
31;учителя-дефектологи;146.02;126.27;113.72;76;16;3;10;7;7;85;10
32;из них:                      олигофренопедагог;21.92;20.42;19.42;14;5;2;2;3;3;17;
33;тифлопедагог;4.5;4.5;4.5;4;;;;1;1;3;
34;сурдопедагог;17;17;13;14;;;;;;12;
35;социальные педагоги;295.69;266.99;253.94;225;36;6;7;31;31;225;6
36;педагоги дополнительного образования;735.18;658.63;572.79;320;82;20;18;73;70;332;13
37;педагоги-психологи;369.29;318.32;305.37;261;46;2;28;42;41;269;25
38;воспитатели;1987.04;1887.98;1849.65;1826;143;59;23;236;213;1727;32
39;мастера производственного обучения;24.16;22.26;20.25;26;;;;6;6;19;2
40;тьюторы;73.07;56.05;50.55;40;21;5;7;11;11;49;5
41;советники директора по воспитанию и взаимодействию                с детскими общественными объединениям;139.5;128;121.5;40;74;11;29;9;9;131;4
42;другие;747.38;683.72;627.14;539;102;36;33;103;94;519;17
43;учебно-вспомогательный персонал;2473.33;2320.33;2230.26;2196;207;64;41;305;276;2083;43
44;иной персонал;7062.93;6625.37;6336.89;6052;720;298;27;847;733;5951;117
45;из них:             ассистент (помощник);19.25;18.5;18.25;14;4;1;1;;;20;
46;сурдопереводчик;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;
48;Из общей численности педагогических работников (стр.06):             персонал, работающий в подразделениях (группах)             дошкольного образования;1644.87;1559.69;1539.34;1562;81;36;10;140;117;1554;9
49;из них воспитатели;1307.61;1246.58;1231.38;1297;60;30;6;118;102;1271;4
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;143.64;127.44;116.19;107;6;;;7;6;131;
51;из них учителя;129.62;117.19;105.79;98;6;;;7;6;120;
;;;;;;;;;;;;
;;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам
