;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование показателей;"Всего  (сумма граф 4-6; сумма граф 7-9)";Из графы 3 обучающихся по образовательным программам начального общего образования (1–4 классы);Из графы 3 обучающихся по образовательным программам основного общего образования (5–9 классы);Из графы 3 обучающихся по образовательным программам среднего общего образования (10–11(12) классы);Из графы 3 обучаются очно;Из графы 3 обучаются очно-заочно;Из графы 3 обучаются заочно
1;Численность обучающихся, углубленно изучающих  учебные предметы - всего;14431;1446;5199;7786;14120;311;
2;из них:        русский язык;368;;123;245;368;;
3;литературное чтение;;;;;;;
4;родной язык и (или) государственный язык       республики Российской Федерации;;;;;;;
5;литературное чтение на родном языке;;;;;;;
6;окружающий мир;;;;;;;
7;математика;6943;431;2710;3802;6943;;
8;изобразительное искусство;;;;;;;
9;музыка;;;;;;;
10;труд (технология);;;;;;;
11;физическая культура;;;;;;;
12;литература;1163;;;1163;1163;;
13;родная литература;;;;;;;
14;иностранный язык;3303;1015;1709;579;3303;;
15;из них:              английский;3303;1015;1709;579;3303;;
16;немецкий;298;;277;21;298;;
17;французский;393;;358;35;393;;
18;испанский;;;;;;;
19;другие европейские языки;;;;;;;
20;китайский;;;;;;;
21;другие восточные языки;;;;;;;
22;информатика;1251;;425;826;1251;;
23;история;1056;;210;846;1056;;
24;обществознание;4696;;188;4508;4385;311;
25;география;476;;;476;165;311;
26;физика;1975;;851;1124;1975;;
27;химия;2065;;415;1650;2065;;
28;биология;2062;;474;1588;2062;;
29;основы безопасности и защиты Родины;27;;27;;27;;
