;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);11;47;252;810
2;в том числе       инженерные;3;7;41;144
3;медицинские;;2;;68
4;космические;;;;
5;педагогические;1;27;27;345
6;аграрные;;;;
7;предпринимательские;;1;;20
8;кадетские;;;;
9;IT-классы;7;8;184;181
10;другие;;2;;52
