;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14
№ строки;Наименование показателя;"Всего  (сумма граф 4–10;  сумма граф  12-14)";Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы начального общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы основного общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья образование обучающихся с умственной отсталостью (интеллектуаль- ными нарушениями);Из графы 3 – лица в возрасте 18 лет и старше;Из графы 3 - обучались очно;Из графы 3 - обучались очно-заочно;Из графы 3 - обучались заочно
1;Выбыло обучающихся – всего (сумма строк 02, 05, 08–13);9939;3846;4971;916;91;27;;88;251;9740;199;
2;в том числе:       продолжили обучение в данной организации в классах  иной формы       обучения или иной направленности;42;21;6;;13;;;2;;42;;
3;из них (из строки 02):             в классах с иной формой обучения в пределах одной и той же             направленности;4;;;;3;;;1;;4;;
4;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в классы для обучающихся             с ограниченными возможностями здоровья;24;18;6;;;;;;;24;;
5;выбыли в другие организации для продолжения обучения по       программам начального, основного или среднего общего образования;8706;3716;4511;339;33;26;;81;4;8706;;
6;из них (из строки 05) выбыло:             в классы иной формы обучения в пределах одной и той же             направленности;2;;;2;;;;;;2;;
7;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в организации (классы) для обучающихся             с ограниченными возможностями здоровья;5;2;3;;;;;;;5;;
8;на обучение по программам среднего профессионального образования –       программам подготовки квалифицированных рабочих, служащих;144;;;144;;;;;1;144;;
9;на обучение по программам среднего профессионального образования –       программы подготовки специалистов среднего звена;165;;;165;;;;;6;165;;
10;в связи с переходом на семейное образование и самообразование;389;92;247;40;6;1;;3;20;389;;
11;по болезни;;;;;;;;;;;;
12;отчислено лиц, не прошедших итоговой аттестации, получивших на       итоговой аттестации неудовлетворительные результаты или освоивших       часть образовательной программы со справкой об обучении       или о периоде обучения;157;;133;24;;;;;3;157;;
13;выбыло по другим причинам;336;17;74;204;39;;;2;217;137;199;
