;;;;
;;;;
;;;;
;;;;
;;;;
1;2;3;4;5
№ строки;Наименование показателей;Всего, человек;Из гр.3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 03, 40,41);715;383;461.5
2;в том числе:       руководящие работники – всего;9;7;7
3;педагогические работники - всего (сумма строк 04, 27, 28, 32-39);291;213;179.4
4;в том числе:          учителя–всего (сумма строк 05-15, 20-26);227;174;139.9
5;в том числе:                учителя, осуществляющие деятельность по реализации                программ начального общего образования;7;7;6.6
6;русского языка и литературы;5;5;3.2
7;языка народов России и литературы;3;3;1.6
8;истории, экономики, права, обществознания;11;5;4.9
9;информатики;15;10;5.7
10;физики;14;5;9.1
11;математики;10;9;7.1
12;химии;17;15;14.2
13;географии;6;6;3.8
14;биологии;4;4;3.2
15;иностранных языков;27;25;18.6
16;из них:                      английского языка;25;23;18
17;немецкого языка;1;1;0.1
18;французского языка;;;
19;китайского языка;;;
20;физической культуры;26;8;19.4
21;труда (технологии);4;3;4
22;музыки и пения;11;10;6.6
23;изобразительного искусства, черчения;4;4;3.1
24;основ безопасности и защиты Родины;5;3;3.7
25;основ духовно-нравственной культуры народов России;;;
26;прочих предметов;58;52;26.8
27;учителя-логопеды;3;3;2
28;учителя-дефектологи;3;1;1.5
29;из них:                олигофренопедагог;;;
30;тифлопедагог;1;;0.5
31;сурдопедагог;;;
32;социальные педагоги;3;2;1.5
33;педагоги дополнительного образования;21;11;10.1
34;педагоги-психологи;14;12;9.8
35;воспитатели;;;
36;мастера производственного обучения;;;
37;тьюторы;1;1;0.5
38;советники директора по воспитанию и взаимодействию          с детскими общественными объединениям;;;
39;другие;19;9;12
40;учебно-вспомогательный персонал;117;58;83.6
41;иной персонал;298;105;187.7
42;из них:             ассистент(помощник);;;
43;сурдопереводчик;;;
44;тифлосурдопереводчик;;;
45;Из общей численности педагогических работников (стр.03):    персонал, работающий в подразделениях (группах)    дошкольного образования;;;
46;из них воспитатели;;;
47;персонал , работающий в классах очно-заочного и заочного       обучения, учебно-консультационных пунктах;;;
48;из них учителя;;;
49;Из общей численности учителей (из строки 04 графы 3) - работники организаций - всего;12;;
50;Из общей численности мастеров производственного обучения (из строки 36 графы 3) - работники организаций – всего;;;
51;Из общей численности учителей-дефектологов (стр.28 гр.3) - учителя, имеющие специальное дефектологическое образование;;;
52;Справочно. Код по ОКЕИ: человек – 792  Кроме того (кроме строки 01), численность медицинских работников (сумма строк 54-55);14;;
53;из них женщин;13;;
54;в том числе:          врачи всех специальностей;9;;
55;медицинские сестры;5;;
56;.Из строки 04 графы 3 – численность учителей, использующих в учебном процессе персональные компьютеры;216;;
