;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
№ строки;Наименование показателей;Всего (сумма граф 4, 6, 8, 10, 12, 14, 16,  18, 20, 22);Число полных лет  по состоянию на 1 января 20_ года моложе 25 лет всего;Число полных лет  по состоянию на 1 января 20_ года моложе 25 лет из них женщины;Число полных лет  по состоянию на 1 января 20_ года 25–29 всего;Число полных лет  по состоянию на 1 января 20_ года 25–29 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 30–34 всего;Число полных лет  по состоянию на 1 января 20_ года 30–34 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 35–39 всего;Число полных лет  по состоянию на 1 января 20_ года 35–39 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 40–44 всего;Число полных лет  по состоянию на 1 января 20_ года 40–44 из них женщины;45–49 всего;45–49 из них женщины;50–54 всего;50–54 из них женщины;55–59 всего;55–59 из них женщины;60–64 всего;60–64 из них женщины;65 и более всего;65 и более из них женщины
1;Численность работников – всего (сумма строк 02, 06, 43,44);12329;556;485;487;419;711;628;1206;1068;1283;1180;1594;1450;1931;1696;1919;1611;1528;1181;1114;800
2;в том числе:       руководящие работники – всего;859;2;2;13;12;30;28;83;71;102;94;129;117;186;166;162;150;93;82;59;47
3;из них:             директор;249;1;1;1;1;4;3;15;11;20;16;29;24;60;48;60;52;33;30;26;21
4;заместители директора;509;1;1;11;10;20;19;57;49;65;61;82;75;108;100;84;81;51;44;30;23
5;руководитель филиала;;;;;;;;;;;;;;;;;;;;;
6;педагогические работники - всего (сумма строк 07, 30, 31, 35-42);7334;504;454;410;364;533;473;770;700;750;699;943;885;1136;1053;1046;982;758;708;484;429
7;в том числе:             учителя–всего (сумма строк 08-18, 23-29);6572;459;410;365;321;470;414;665;597;631;589;847;802;1037;963;969;916;695;652;434;389
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;2093;155;153;134;134;131;131;169;168;160;160;299;299;401;400;392;392;170;170;82;82
9;русского языка и литературы;810;43;41;29;29;49;48;85;84;73;72;106;104;139;138;118;118;95;95;73;73
10;языка народов России и литературы;6;1;1;;;;;;;1;1;1;1;3;3;;;;;;
11;истории, экономики, права, обществознания;410;31;22;24;19;39;32;43;35;48;45;53;47;61;46;47;43;43;38;21;17
12;информатики;158;17;14;8;6;17;12;26;18;27;24;23;22;16;16;15;12;8;6;1;
13;физики;178;11;8;8;6;12;6;20;18;13;12;18;15;15;13;27;24;32;28;22;15
14;математики;625;42;42;38;36;35;34;45;42;65;63;79;75;80;77;85;83;97;95;59;58
15;химии;159;8;7;6;6;8;7;14;14;19;19;24;22;22;20;23;23;18;18;17;16
16;географии;211;6;5;4;4;13;13;21;20;23;20;21;20;42;39;33;32;28;25;20;16
17;биологии;203;6;5;9;9;2;2;30;29;21;20;29;29;33;32;32;30;27;27;14;14
18;иностранных языков;687;68;67;52;47;74;70;112;107;86;84;61;59;49;48;61;60;71;69;53;52
19;из них:                         английского языка;650;64;63;50;45;73;69;109;105;84;82;58;56;44;43;56;55;66;64;46;46
20;немецкого языка;22;;;2;2;1;1;2;1;;;2;2;2;2;3;3;3;3;7;6
21;французского языка;12;2;2;;;;;1;1;2;2;1;1;2;2;2;2;2;2;;
22;китайского языка;2;2;2;;;;;;;;;;;;;;;;;;
23;физической культуры;434;46;25;37;15;47;27;59;27;36;20;42;32;66;36;50;30;33;21;18;7
24;труда (технологии);255;12;8;7;4;13;11;10;8;27;19;39;34;49;43;44;35;32;24;22;16
25;музыки и пения;98;4;4;2;2;5;4;9;9;9;9;17;15;14;13;9;8;15;14;14;12
26;изобразительного искусства, черчения;78;3;3;1;1;4;4;8;8;6;6;12;11;17;16;14;13;9;9;4;4
27;основ безопасности и защиты Родины;57;;;1;;9;2;4;1;4;2;9;3;10;4;8;4;5;2;7;2
28;основ духовно-нравственной культуры народов России;4;;;;;;;;;1;1;;;1;1;;;1;1;1;1
29;прочих предметов;106;6;5;5;3;12;11;10;9;12;12;14;14;19;18;11;9;11;10;6;4
30;учителя-логопеды;65;6;6;2;2;1;1;8;8;11;11;11;11;9;9;9;9;5;5;3;3
31;учителя-дефектологи;41;3;3;5;5;5;5;5;5;5;5;2;2;11;11;4;4;;;1;1
32;из них:                      олигофренопедагог;8;1;1;1;1;;;;;1;1;1;1;3;3;1;1;;;;
33;тифлопедагог;1;;;1;1;;;;;;;;;;;;;;;;
34;сурдопедагог;;;;;;;;;;;;;;;;;;;;;
35;социальные педагоги;82;4;4;5;4;7;7;11;11;16;16;13;13;10;10;10;10;3;3;3;3
36;педагоги дополнительного образования;35;2;2;4;3;1;;8;8;6;4;2;1;4;4;2;2;2;1;4;2
37;педагоги-психологи;147;5;5;9;9;21;21;28;28;26;26;28;27;15;14;7;7;5;5;3;3
38;воспитатели;168;5;5;10;10;8;8;15;14;20;17;19;14;21;17;26;18;27;22;17;15
39;мастера производственного обучения;;;;;;;;;;;;;;;;;;;;;
40;тьюторы;30;2;2;1;1;5;5;5;5;6;5;;;3;3;1;1;6;6;1;1
