;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
№ строки;Наименование показателя;Всего (сумма граф 04 - 16);Программы начального общего образования 1-й класс;Программы начального общего образования 2-й класс;Программы начального общего образования 3-й класс;Программы начального общего образования 4-й класс;Программы основного общего образования 5-й класс;Программы основного общего образования 6-й класс;Программы основного общего образования 7-й класс;Программы основного общего образования 8-й класс;Программы основного общего образования 9-й класс;Программы среднего общего образования 10-й класс;Программы среднего общего образования 11-й класс (выпускной);Программы среднего общего образования 11-й класс;Программы среднего общего образования 12-й класс
1;Число классов без углубленного изучения предметов, ед.;7998;851;857;892;901;884;894;802;816;825;138;132;1;5
2;В них обучающихся, чел.;139684;13984;14787;15418;16239;16315;16673;14300;14567;14811;1384;1161;1;44
3;Число классов с углубленным изучением отдельных предметов, ед.;923;;22;29;24;18;18;97;70;71;291;281;2;
4;В них обучающихся, чел.;16395;;437;604;474;366;387;2198;1557;1633;4634;4064;41;
5;Число гимназических классов, ед.;23;;;;2;2;2;3;4;4;3;3;;
6;В них обучающихся, чел.;439;;;;52;45;27;61;78;66;63;47;;
7;Число лицейских классов, ед.;4;;;;;;;;;;2;2;;
8;В них обучающихся, чел.;60;;;;;;;;;;31;29;;
9;Итого классов (без классов для обучающихся с ограниченными возможностями здоровья) (сумма строк 01, 03, 05, 07), ед.;8948;851;879;921;927;904;914;902;890;900;434;418;3;5
10;"В них обучающихся (сумма строк 02, 04, 06, 08;  сумма строк 11 - 13), чел.";156578;13984;15224;16022;16765;16726;17087;16559;16202;16510;6112;5301;42;44
11;в том числе обучаются:          очно;156339;13973;15215;16013;16761;16720;17074;16540;16186;16492;6077;5288;;
12;очно-заочно;232;11;9;8;4;6;12;18;16;14;35;13;42;44
13;заочно;7;;;1;;;1;1;;4;;;;
14;Из строки 10:          воспитанники (без приходящих учащихся);9117;752;783;916;979;951;1035;926;1081;1083;315;296;;
15;девочки;76566;6656;7465;7779;8181;8107;8255;7954;7922;8082;3238;2898;18;11
16;оставленные на повторное обучение;36;16;8;2;6;2;1;1;;;;;;
17;лица с ограниченными возможностями здоровья;5598;879;774;814;815;445;526;485;428;406;11;15;;
18;из них:                инвалиды;11;;1;;1;;2;3;;4;;;;
19;дети-инвалиды;1662;301;205;225;191;155;177;144;140;102;9;13;;
20;инвалиды (кроме учтенных в строке 18);5;;;;2;;1;;1;1;;;;
21;дети-инвалиды (кроме учтенных в строке 19);1092;69;83;89;96;146;122;115;127;131;66;48;;
22;дети-сироты и дети, оставшиеся без попечения родителей;659;28;41;55;59;54;84;78;100;104;28;28;;
23;из них воспитанники (без приходящих учащихся);10;1;1;3;;;;;3;2;;;;
24;обучающиеся иностранные граждане;311;31;23;36;33;25;30;41;38;35;11;8;;
25;из них девочки;128;13;10;13;13;10;13;15;17;15;3;6;;
26;обучающиеся лица без гражданства;5;;;;;;1;2;;2;;;;
