;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
№ строки;Наименование профессии по Перечню профессий рабочих, должностей служащих, по которым осуществляется профессиональное обучение, утвержденному приказом  Минпросвещения России от 14 июля 2023 г. № 534;Код  профессии (при наличии);"Всего  обучено за период с 20.09 прошлого года по 19.09 текущего года (сумма граф 5 – 10; сумма граф 18-20)";В том числе из числа обучающихся (обучавшихся): за счет бюджетных ассигнований федерального бюджета;В том числе из числа обучающихся (обучавшихся): за счет бюджетных ассигнований бюджета субъекта Российской Федерации;В том числе из числа обучающихся (обучавшихся): за счет бюджетных ассигнований местного бюджета;В том числе из числа обучающихся (обучавшихся): по договорам об оказании платных образовательных услуг за счет средств лиц, зачисляе- мых на обуче- ние (родителей (законных пре- дставителей) несовершенно- летних обучающихся);В том числе из числа обучающихся (обучавшихся): по договорам об оказании платных образовательных услуг за счет средств иных физических лиц;В том числе из числа обучающихся (обучавшихся): по договорам об оказании платных образовательных услуг за счет средств юридических лиц;Из общей численности обученных (из графы 4) девушки;Из общей численности обученных (из графы 4) прошли ускоренное обучение по индивидуаль-ным учебным планам;Из общей численности обученных (из графы 4) лица с ограни-ченными воз-можностями здоровья;Из общей численности обученных (из графы 4) из них (из графы 13): инвалиды;Из общей численности обученных (из графы 4) из них (из графы 13): дети-инвалиды;Из общей численности обученных (из графы 4) инвалиды  (кроме учтенных в графе 14);Из общей численности обученных (из графы 4) дети-инвалиды (кроме учтенных в графе 15);Из общей численности обученных (из графы 4) обучались (обучаются) очно;Из общей численности обученных (из графы 4) обучались (обучаются) очно-заочно;Из общей численности обученных (из графы 4) обучались (обучаются) заочно
1;Программы профессиональной подготовки по профессиям рабочих, должностям служащих – всего;;2673;158;1044;1093;361;1;16;1195;;12;;12;4;7;2653;20;
2;Водитель автомобиля;11442;370;30;51;67;221;1;;124;;3;;3;;;359;11;
3;Исполнитель художественно-оформительских работ;12565;2;;2;;;;;;;;;;;;2;;
4;Кондитер;12901;81;;44;37;;;;73;;;;;;;81;;
5;Лаборант-электроакустик;13322;1;;;1;;;;;;;;;;;1;;
6;Лесовод;13376;7;;7;;;;;4;;;;;;;7;;
7;Облицовщик-плиточник;15220;10;;10;;;;;;;;;;;;10;;
8;Оператор электронно-вычислительных и вычислительных машин;16199;438;29;154;214;41;;;129;;1;;1;2;;438;;
9;Официант;16399;12;4;;8;;;;8;;;;;;;12;;
10;Парикмахер;16437;44;8;36;;;;;31;;;;;;;44;;
11;Плотник;16671;45;;45;;;;;;;;;;;1;45;;
12;Повар;16675;157;;39;118;;;;91;;;;;;2;148;9;
13;Продавец продовольственных товаров;17353;40;;40;;;;;40;;;;;1;;40;;
