;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);67;322;1325;3382
2;в том числе       инженерные;7;34;190;379
3;медицинские;21;102;410;831
4;космические;;;;
5;педагогические;13;64;271;636
6;аграрные;8;7;134;70
7;предпринимательские;;2;;23
8;кадетские;3;2;43;28
9;IT-классы;1;54;10;689
10;другие;14;57;267;726
