;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
№ строки;Наименование показателей;"Всего обу-чающихся (сумма граф 4,10; сумма граф 16-18)";Все классы, кроме классов для обучающихся  с ограниченными возможностями здоровья Всего;Все классы, кроме классов для обучающихся  с ограниченными возможностями здоровья Из них (из гр. 4) лица с огра- ниченными возможностя- ми здоровья;Все классы, кроме классов для обучающихся  с ограниченными возможностями здоровья Из них (из гр. 4) из них (из гр. 5): инвалиды;Все классы, кроме классов для обучающихся  с ограниченными возможностями здоровья Из них (из гр. 4) из них (из гр. 5): дети-инвалиды;Все классы, кроме классов для обучающихся  с ограниченными возможностями здоровья Из них (из гр. 4) инвалиды  (кроме учтенных в гр. 6);Все классы, кроме классов для обучающихся  с ограниченными возможностями здоровья Из них (из гр. 4) дети-инвали- ды (кроме учтенных в гр. 7);Классы для обучающихся с ограниченными возможностями здоровья Всего;Классы для обучающихся с ограниченными возможностями здоровья Из них (из гр. 10) лица с огра- ниченными возможностя- ми здоровья;Классы для обучающихся с ограниченными возможностями здоровья Из них (из гр. 10) из них (из гр. 11): инвалиды;Классы для обучающихся с ограниченными возможностями здоровья Из них (из гр. 10) из них (из гр. 11): дети-инвалиды;Классы для обучающихся с ограниченными возможностями здоровья Из них (из гр. 10) инвалиды  (кроме учтенных в гр. 12);Классы для обучающихся с ограниченными возможностями здоровья Из них (из гр. 10) дети-инвали- ды (кроме учтенных в  гр. 13);В том числе обучающихся (из гр.3) очно;В том числе обучающихся (из гр.3) очно-заочно;В том числе обучающихся (из гр.3) заочно
1;Численность обучающихся – всего;157961;156578;5598;11;1662;5;1092;1383;1383;29;846;;4;157628;286;47
2;из них обучаются:       по программам, реализуемым с использованием сетевой формы;5478;5381;100;;16;;37;97;97;7;39;;;5470;8;
3;с применением электронного обучения;3524;3484;83;;24;;30;40;40;;21;;;3484;;40
4;с применением дистанционных образовательных технологий;8748;8683;278;;66;1;46;65;65;;42;;4;8703;4;41
5;по индивидуальным учебным планам;3403;3194;1316;3;417;;45;209;207;26;126;;4;3296;107;
6;на дому;1273;1072;883;8;615;1;75;201;201;17;158;;4;1136;134;3
7;в медицинской организации;1;1;;;;;1;;;;;;;1;;
8;из суммы строк 06 и 07:             с применением дистанционных образовательных технологий             (из строки 04);36;14;5;;4;;1;22;22;;18;;4;36;;
9;по индивидуальным учебным планам (из строки 05);169;123;104;1;62;;6;46;46;;22;;4;148;21;
