;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателей;Всего (сумма граф 4 - 9);Из графы 3 – имеют общий стаж работы, лет до 3;Из графы 3 – имеют общий стаж работы, лет от 3 до 5;Из графы 3 – имеют общий стаж работы, лет от 5 до 10;Из графы 3 – имеют общий стаж работы, лет от 10 до 15;Из графы 3 – имеют общий стаж работы, лет от 15 до 20;Из графы 3 – имеют общий стаж работы, лет 20 и более;Из гр. 3  имеют стаж педагоги- ческой работы- всего (сумма граф 11-16);Из графы 10 – имеют педагогический стаж работы, лет до 3;Из графы 10 – имеют педагогический стаж работы, лет от 3 до 5;Из графы 10 – имеют педагогический стаж работы, лет от 5 до 10;Из графы 10 – имеют педагогический стаж работы, лет от 10 до 15;Из графы 10 – имеют педагогический стаж работы, лет от 15 до 20;Из графы 10 – имеют педагогический стаж работы, лет 20 и более;Не имеют стажа педа- гогической работы
1;Численность работников – всего (сумма строк 02, 06, 43, 44);24136;1737;1031;2065;2190;2361;14752;16797;1712;1115;1690;1563;1397;9320;7339
2;в том числе:       руководящие работники – всего;1554;18;26;89;133;171;1117;1480;31;43;95;146;147;1018;74
3;из них:             директор;525;6;5;23;37;44;410;519;11;12;27;51;43;375;6
4;заместители директора;1024;12;21;66;96;126;703;958;20;31;68;95;104;640;66
5;руководитель филиала;4;;;;;1;3;2;;;;;;2;2
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);15315;1484;808;1480;1402;1352;8789;15059;1655;1045;1555;1379;1218;8207;256
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);12017;952;533;1045;1020;971;7496;11907;1010;669;1108;1031;946;7143;110
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;3526;293;181;264;235;238;2315;3492;295;205;281;241;235;2235;34
9;русского языка и литературы;1474;122;62;101;99;95;995;1462;120;85;111;90;93;963;12
10;языка народов России и литературы;;;;;;;;;;;;;;;
11;истории, экономики, права, обществознания;765;59;37;75;53;83;458;758;64;43;77;56;78;440;7
12;информатики;318;45;9;48;42;40;134;312;48;17;45;38;41;123;6
13;физики;375;15;7;17;19;21;296;372;18;11;19;19;21;284;3
14;математики;1104;81;44;93;61;76;749;1094;90;52;99;63;70;720;10
15;химии;276;20;7;17;14;14;204;273;21;8;18;20;18;188;3
16;географии;355;13;7;20;25;24;266;354;15;14;25;22;26;252;1
17;биологии;351;17;10;24;24;31;245;348;17;16;25;27;26;237;3
18;иностранных языков;1287;128;84;174;204;156;541;1274;125;104;178;198;151;518;13
19;из них:                         английского языка;1159;124;78;161;181;148;467;1147;121;97;165;174;145;445;12
20;немецкого языка;113;3;5;12;19;8;66;113;4;6;12;20;6;65;
21;французского языка;7;1;;;;;6;6;;;;;;6;1
22;китайского языка;1;;1;;;;;1;;1;;;;;
23;физической культуры;927;69;40;121;146;89;462;920;86;52;123;144;78;437;7
24;труда (технологии);443;15;16;25;32;40;315;440;24;22;36;36;42;280;3
25;музыки и пения;243;17;8;24;25;16;153;241;21;11;20;26;16;147;2
26;изобразительного искусства, черчения;194;11;6;16;17;14;130;194;17;7;18;17;14;121;
27;основ безопасности и защиты Родины;187;20;8;18;11;15;115;185;25;14;22;16;19;89;2
28;основ духовно-нравственной культуры народов России;42;1;;;1;9;31;42;1;;1;4;8;28;
29;прочих предметов;150;26;7;8;12;10;87;146;23;8;10;14;10;81;4
30;учителя-логопеды;321;43;25;51;46;39;117;316;52;33;59;40;22;110;5
31;учителя-дефектологи;145;21;18;37;24;12;33;139;21;29;39;20;6;24;6
32;из них:                   олигофренопедагог;18;2;2;4;3;2;5;17;2;6;3;3;;3;1
33;тифлопедагог;10;2;1;2;1;1;3;10;2;1;3;1;1;2;
34;сурдопедагог;7;2;;2;;;3;7;2;;2;;;3;
35;социальные педагоги;271;32;26;23;32;30;128;266;51;36;30;22;17;110;5
36;педагоги дополнительного образования;248;40;19;30;19;31;109;232;51;27;31;14;25;84;16
