;;;;
;;;;
;;;;
;;;;
;;;;
1;2;3;4;5
№ строки;Наименование показателей;Всего, человек;Из гр.3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 03, 40,41);976;615;365.1
2;в том числе:       руководящие работники – всего;7;5;8
3;педагогические работники - всего (сумма строк 04, 27, 28, 32-39);619;475;180.2
4;в том числе:          учителя–всего (сумма строк 05-15, 20-26);348;271;100.1
5;в том числе:                учителя, осуществляющие деятельность по реализации                программ начального общего образования;24;24;4.2
6;русского языка и литературы;25;24;3
7;языка народов России и литературы;1;1;
8;истории, экономики, права, обществознания;28;23;8.5
9;информатики;13;5;2.6
10;физики;20;11;6.9
11;математики;18;15;5.4
12;химии;29;26;6.2
13;географии;9;6;1.8
14;биологии;11;10;3.7
15;иностранных языков;43;40;12.8
16;из них:                      английского языка;34;32;9.9
17;немецкого языка;4;4;1
18;французского языка;1;1;1
19;китайского языка;;;
20;физической культуры;24;8;8.3
21;труда (технологии);10;5;4.3
22;музыки и пения;29;23;7.3
23;изобразительного искусства, черчения;6;5;3.7
24;основ безопасности и защиты Родины;8;2;1.5
25;основ духовно-нравственной культуры народов России;1;;
26;прочих предметов;49;43;32.9
27;учителя-логопеды;31;31;10.3
28;учителя-дефектологи;19;19;7.6
29;из них:                олигофренопедагог;1;1;0.2
30;тифлопедагог;2;2;0.2
31;сурдопедагог;;;
32;социальные педагоги;3;3;
33;педагоги дополнительного образования;148;94;54.4
34;педагоги-психологи;18;18;3.2
35;воспитатели;5;4;4
36;мастера производственного обучения;6;4;0.5
37;тьюторы;11;10;1
38;советники директора по воспитанию и взаимодействию          с детскими общественными объединениям;1;1;1
39;другие;29;20;14.7
40;учебно-вспомогательный персонал;89;38;46.5
41;иной персонал;261;97;99.8
42;из них:             ассистент(помощник);3;3;1.5
43;сурдопереводчик;;;
44;тифлосурдопереводчик;;;
45;Из общей численности педагогических работников (стр.03):    персонал, работающий в подразделениях (группах)    дошкольного образования;9;7;2.3
46;из них воспитатели;2;2;0.5
47;персонал , работающий в классах очно-заочного и заочного       обучения, учебно-консультационных пунктах;3;2;
48;из них учителя;3;2;
49;Из общей численности учителей (из строки 04 графы 3) - работники организаций - всего;32;;
50;Из общей численности мастеров производственного обучения (из строки 36 графы 3) - работники организаций – всего;;;
51;Из общей численности учителей-дефектологов (стр.28 гр.3) - учителя, имеющие специальное дефектологическое образование;2;;
52;Справочно. Код по ОКЕИ: человек – 792  Кроме того (кроме строки 01), численность медицинских работников (сумма строк 54-55);48;;
53;из них женщин;46;;
54;в том числе:          врачи всех специальностей;4;;
55;медицинские сестры;44;;
56;.Из строки 04 графы 3 – численность учителей, использующих в учебном процессе персональные компьютеры;118;;
