;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование показателей;"Всего  (сумма граф 4-6; сумма граф 7-9)";Из графы 3 обучающихся по образовательным программам начального общего образования (1–4 классы);Из графы 3 обучающихся по образовательным программам основного общего образования (5–9 классы);Из графы 3 обучающихся по образовательным программам среднего общего образования (10–11(12) классы);Из графы 3 обучаются очно;Из графы 3 обучаются очно-заочно;Из графы 3 обучаются заочно
1;Численность обучающихся, углубленно изучающих  учебные предметы - всего;5595;;411;5184;5534;61;
2;из них:        русский язык;107;;;107;107;;
3;литературное чтение;;;;;;;
4;родной язык и (или) государственный язык       республики Российской Федерации;;;;;;;
5;литературное чтение на родном языке;;;;;;;
6;окружающий мир;;;;;;;
7;математика;2561;;231;2330;2560;1;
8;изобразительное искусство;;;;;;;
9;музыка;;;;;;;
10;труд (технология);;;;;;;
11;физическая культура;;;;;;;
12;литература;405;;;405;405;;
13;родная литература;;;;;;;
14;иностранный язык;208;;;208;148;60;
15;из них:              английский;208;;;208;148;60;
16;немецкий;;;;;;;
17;французский;;;;;;;
18;испанский;;;;;;;
19;другие европейские языки;;;;;;;
20;китайский;;;;;;;
21;другие восточные языки;;;;;;;
22;информатика;475;;12;463;475;;
23;история;768;;;768;768;;
24;обществознание;2603;;26;2577;2603;;
25;география;56;;;56;56;;
26;физика;723;;27;696;723;;
27;химия;859;;27;832;859;;
28;биология;1126;;96;1030;1066;60;
29;основы безопасности и защиты Родины;;;;;;;
