;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
№ строки;Наименование показателей;"Всего обу-чающихся (сумма граф 4,10; сумма граф 16-18)";Все классы, кроме классов для обучающихся  с ограниченными возможностями здоровья Всего;Все классы, кроме классов для обучающихся  с ограниченными возможностями здоровья Из них (из гр. 4) лица с огра- ниченными возможностя- ми здоровья;Все классы, кроме классов для обучающихся  с ограниченными возможностями здоровья Из них (из гр. 4) из них (из гр. 5): инвалиды;Все классы, кроме классов для обучающихся  с ограниченными возможностями здоровья Из них (из гр. 4) из них (из гр. 5): дети-инвалиды;Все классы, кроме классов для обучающихся  с ограниченными возможностями здоровья Из них (из гр. 4) инвалиды  (кроме учтенных в гр. 6);Все классы, кроме классов для обучающихся  с ограниченными возможностями здоровья Из них (из гр. 4) дети-инвали- ды (кроме учтенных в гр. 7);Классы для обучающихся с ограниченными возможностями здоровья Всего;Классы для обучающихся с ограниченными возможностями здоровья Из них (из гр. 10) лица с огра- ниченными возможностя- ми здоровья;Классы для обучающихся с ограниченными возможностями здоровья Из них (из гр. 10) из них (из гр. 11): инвалиды;Классы для обучающихся с ограниченными возможностями здоровья Из них (из гр. 10) из них (из гр. 11): дети-инвалиды;Классы для обучающихся с ограниченными возможностями здоровья Из них (из гр. 10) инвалиды  (кроме учтенных в гр. 12);Классы для обучающихся с ограниченными возможностями здоровья Из них (из гр. 10) дети-инвали- ды (кроме учтенных в  гр. 13);В том числе обучающихся (из гр.3) очно;В том числе обучающихся (из гр.3) очно-заочно;В том числе обучающихся (из гр.3) заочно
1;Численность обучающихся – всего;127843;126218;1428;44;693;10;970;1625;1305;37;711;;;127404;237;202
2;из них обучаются:       по программам, реализуемым с использованием сетевой формы;3176;3176;20;;10;;17;;;;;;;3176;;
3;с применением электронного обучения;90784;90404;820;23;376;3;605;380;380;5;181;;;90556;226;2
4;с применением дистанционных образовательных технологий;14488;14384;89;;53;;84;104;96;;72;;;14474;14;
5;по индивидуальным учебным планам;948;693;487;8;253;1;46;255;255;9;158;;;943;5;
6;на дому;859;680;510;13;340;;81;179;171;5;151;;;859;;
7;в медицинской организации;100;100;;;;;;;;;;;;100;;
8;из суммы строк 06 и 07:             с применением дистанционных образовательных технологий             (из строки 04);44;28;19;;19;;5;16;16;;16;;;44;;
9;по индивидуальным учебным планам (из строки 05);276;194;162;2;103;;13;82;74;;74;;;276;;
