;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14
№ строки;Наименование показателя;"Всего  (сумма граф 4–10;  сумма граф  12-14)";Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы начального общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы основного общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья образование обучающихся с умственной отсталостью (интеллектуаль- ными нарушениями);Из графы 3 – лица в возрасте 18 лет и старше;Из графы 3 - обучались очно;Из графы 3 - обучались очно-заочно;Из графы 3 - обучались заочно
1;Выбыло обучающихся – всего (сумма строк 02, 05, 08–13);6240;1863;3309;935;15;13;10;95;150;6135;38;67
2;в том числе:       продолжили обучение в данной организации в классах  иной формы       обучения или иной направленности;49;9;37;2;1;;;;;49;;
3;из них (из строки 02):             в классах с иной формой обучения в пределах одной и той же             направленности;8;;8;;;;;;;8;;
4;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в классы для обучающихся             с ограниченными возможностями здоровья;1;1;;;;;;;;1;;
5;выбыли в другие организации для продолжения обучения по       программам начального, основного или среднего общего образования;4933;1822;2722;328;14;7;8;32;;4917;15;1
6;из них (из строки 05) выбыло:             в классы иной формы обучения в пределах одной и той же             направленности;51;14;36;1;;;;;;51;;
7;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в организации (классы) для обучающихся             с ограниченными возможностями здоровья;18;9;9;;;;;;;17;1;
8;на обучение по программам среднего профессионального образования –       программам подготовки квалифицированных рабочих, служащих;452;;252;195;;5;;;3;450;2;
9;на обучение по программам среднего профессионального образования –       программы подготовки специалистов среднего звена;347;;239;106;;;2;;;344;3;
10;в связи с переходом на семейное образование и самообразование;55;21;28;3;;;;3;;51;;4
11;по болезни;1;;;1;;;;;;1;;
12;отчислено лиц, не прошедших итоговой аттестации, получивших на       итоговой аттестации неудовлетворительные результаты или освоивших       часть образовательной программы со справкой об обучении       или о периоде обучения;7;;3;4;;;;;;7;;
13;выбыло по другим причинам;396;11;28;296;;1;;60;147;316;18;62
