;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
№ строки;Наименование показателей;Всего, человек;Из них (из графы 3) имеют образование: Высшее;Из них (из графы 3) имеют образование: из них (графы 4) педагогическое;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень доктора наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень кандидата наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание профессора;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание доцента;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки специалистов среднего звена;Из них (из графы 3) имеют образование: из них  (графы 10) педагогическое;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки квалифициро-ванных рабочих служащих;Из графы 3 имеют квалификационные категории высшую;Из графы 3 имеют квалификационные категории первую;Из графы 3 имеют квалификационные категории педагог-методист;Из графы 3 имеют квалификационные категории педагог-наставник;Из графы 3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 06, 43, 44);15262;10330;9610;;48;;4;2804;1390;1094;5410;3394;;;13010;
2;в том числе:       руководящие работники – всего;1115;1066;952;;9;;2;39;19;4;618;326;;;903;
3;из них:             директор;442;434;416;;5;;1;2;1;;261;136;;;315;
4;заместители директора;646;598;493;;4;;1;35;17;4;325;167;;;563;
5;руководитель филиала;20;19;17;;;;;;;;8;8;;;15;
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);10400;8823;8563;;39;;2;1406;1325;18;4785;3054;;;9389;4958.5
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);9043;7908;7771;;35;;2;1023;984;11;4405;2724;;;8127;4289.3
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;2587;1975;1956;;;;;573;563;6;1226;829;;;2581;1337.6
9;русского языка и литературы;1227;1175;1171;;6;;;48;47;;620;377;;;1198;
10;языка народов России и литературы;3;2;2;;;;;1;1;;1;;;;2;
11;истории, экономики, права, обществознания;618;592;588;;6;;;18;17;;361;141;;;503;
12;информатики;201;193;187;;1;;;3;2;1;116;51;;;144;
13;физики;291;284;281;;3;;1;5;5;;157;82;;;231;
14;математики;899;878;868;;4;;;15;15;;430;295;;;847;
15;химии;227;221;218;;3;;;4;4;;136;55;;;212;
16;географии;321;310;309;;3;;1;8;8;;192;79;;;297;
17;биологии;297;287;282;;3;;;8;8;;159;75;;;285;
18;иностранных языков;994;938;921;;4;;;47;45;;308;388;;;959;
19;из них:                         английского языка;798;740;724;;4;;;32;31;;240;289;;;763;
