;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателей;Всего (сумма граф 4 - 9);Из графы 3 – имеют общий стаж работы, лет до 3;Из графы 3 – имеют общий стаж работы, лет от 3 до 5;Из графы 3 – имеют общий стаж работы, лет от 5 до 10;Из графы 3 – имеют общий стаж работы, лет от 10 до 15;Из графы 3 – имеют общий стаж работы, лет от 15 до 20;Из графы 3 – имеют общий стаж работы, лет 20 и более;Из гр. 3  имеют стаж педагоги- ческой работы- всего (сумма граф 11-16);Из графы 10 – имеют педагогический стаж работы, лет до 3;Из графы 10 – имеют педагогический стаж работы, лет от 3 до 5;Из графы 10 – имеют педагогический стаж работы, лет от 5 до 10;Из графы 10 – имеют педагогический стаж работы, лет от 10 до 15;Из графы 10 – имеют педагогический стаж работы, лет от 15 до 20;Из графы 10 – имеют педагогический стаж работы, лет 20 и более;Не имеют стажа педа- гогической работы
1;Численность работников – всего (сумма строк 02, 06, 43, 44);15262;911;497;959;1118;1327;10450;11411;825;481;861;818;902;7524;3851
2;в том числе:       руководящие работники – всего;1115;12;10;35;68;100;890;996;13;12;42;58;85;786;119
3;из них:             директор;442;2;1;4;24;25;386;440;5;2;9;22;30;372;2
4;заместители директора;646;10;9;31;42;75;479;534;8;10;33;34;55;394;112
5;руководитель филиала;20;;;;2;;18;20;;;;2;;18;
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);10400;789;414;721;757;823;6896;10280;791;458;802;750;803;6676;120
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);9043;658;358;585;623;688;6131;8973;636;386;644;616;686;6005;70
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;2587;200;134;174;132;178;1769;2564;187;131;191;136;170;1749;23
9;русского языка и литературы;1227;82;43;62;83;90;867;1223;76;45;72;86;88;856;4
10;языка народов России и литературы;3;;;;;2;1;3;1;;;1;;1;
11;истории, экономики, права, обществознания;618;45;28;43;39;41;422;614;45;29;44;38;43;415;4
12;информатики;201;11;8;20;19;33;110;199;9;13;21;18;32;106;2
13;физики;291;19;9;9;15;20;219;289;19;8;11;13;22;216;2
14;математики;899;62;28;30;54;53;672;893;61;29;33;55;56;659;6
15;химии;227;9;10;5;18;13;172;227;12;8;9;14;14;170;
16;географии;321;13;7;10;19;14;258;321;13;9;12;20;14;253;
17;биологии;297;18;10;15;17;20;217;295;17;12;15;17;23;211;2
18;иностранных языков;994;106;47;108;126;118;489;976;93;56;119;120;114;474;18
19;из них:                         английского языка;798;102;41;102;113;101;339;780;88;50;112;109;94;327;18
20;немецкого языка;184;4;5;5;13;17;140;184;5;5;6;11;20;137;
21;французского языка;9;;1;;;;8;9;;1;;;;8;
22;китайского языка;;;;;;;;;;;;;;;
23;физической культуры;601;61;19;60;60;51;350;596;63;22;60;60;55;336;5
24;труда (технологии);383;10;5;23;15;27;303;380;10;10;25;16;28;291;3
25;музыки и пения;133;11;3;10;6;10;93;133;14;5;11;3;10;90;
26;изобразительного искусства, черчения;107;2;1;5;9;6;84;107;4;1;8;7;5;82;
27;основ безопасности и защиты Родины;103;4;;8;6;7;78;102;5;1;9;8;7;72;1
28;основ духовно-нравственной культуры народов России;9;3;;;;;6;9;3;;1;;;5;
29;прочих предметов;42;2;6;3;5;5;21;42;4;7;3;4;5;19;
30;учителя-логопеды;47;6;4;7;7;7;16;46;5;6;8;7;8;12;1
31;учителя-дефектологи;33;3;1;5;1;3;20;33;5;3;4;;1;20;
32;из них:                   олигофренопедагог;12;;;1;1;2;8;12;1;;2;;1;8;
33;тифлопедагог;;;;;;;;;;;;;;;
34;сурдопедагог;10;;;;;;10;10;;;;;;10;
35;социальные педагоги;202;9;7;14;23;19;130;191;14;11;18;19;16;113;11
36;педагоги дополнительного образования;67;3;6;8;2;5;43;66;3;5;10;3;3;42;1
37;педагоги-психологи;148;18;6;19;20;21;64;144;26;8;21;22;19;48;4
38;воспитатели;559;40;16;39;49;57;358;553;48;22;46;53;51;333;6
39;мастера производственного обучения;2;;;;;1;1;2;;;;1;;1;
40;тьюторы;50;18;3;5;9;3;12;46;21;3;6;3;2;11;4
41;советники директора по воспитанию и взаимодействию             с детскими общественными объединениям;51;12;3;14;7;5;10;46;11;4;11;6;5;9;5
42;другие;198;22;10;25;16;14;111;180;22;10;34;20;12;82;18
43;учебно-вспомогательный персонал;701;23;15;50;72;103;438;79;12;7;11;4;10;35;622
44;иной персонал;3046;87;58;153;221;301;2226;56;9;4;6;6;4;27;2990
45;из них:             ассистент (помощник);1;;;;;1;;;;;;;;;1
46;сурдопереводчик;1;;;;;;1;1;;;;;;1;
47;тифлосурдопереводчик;;;;;;;;;;;;;;;
48;Из общей численности педагогических работников (строка 06):             персонал, работающий в подразделениях (группах)             дошкольного образования;212;13;9;12;19;26;133;211;17;10;19;22;21;122;1
49;из них воспитатели;204;12;9;11;19;24;129;203;15;10;18;22;20;118;1
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;;;;;;;;;;;;;;;
51;из них учителя;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;Данные графы 3 по строкам 01–51 равны данным графы 3 подраздела 3.1 по соответствующим строкам 01-51.;;;;;;;;;;;;;;
