;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
№ строки;Наименование показателя;Всего (сумма граф 04 - 16);Программы начального общего образования 1-й класс;Программы начального общего образования 2-й класс;Программы начального общего образования 3-й класс;Программы начального общего образования 4-й класс;Программы основного общего образования 5-й класс;Программы основного общего образования 6-й класс;Программы основного общего образования 7-й класс;Программы основного общего образования 8-й класс;Программы основного общего образования 9-й класс;Программы среднего общего образования 10-й класс;Программы среднего общего образования 11-й класс (выпускной);Программы среднего общего образования 11-й класс;Программы среднего общего образования 12-й класс
1;Число классов без углубленного изучения предметов, ед.;5649;552;598;602;599;568;606;552;555;570;216;206;15;10
2;В них обучающихся, чел.;125244;12141;13555;13819;13536;12829;13955;12376;12263;12945;4010;3472;225;118
3;Число классов с углубленным изучением отдельных предметов, ед.;246;5;12;15;13;25;14;41;41;26;27;26;1;
4;В них обучающихся, чел.;6376;143;332;397;336;708;382;966;1086;652;679;681;14;
5;Число гимназических классов, ед.;286;32;31;30;29;29;30;29;29;23;13;11;;
6;В них обучающихся, чел.;8072;897;869;907;809;843;846;829;810;651;324;287;;
7;Число лицейских классов, ед.;102;6;8;8;8;9;9;8;9;10;14;13;;
8;В них обучающихся, чел.;2673;164;204;215;213;248;244;197;238;276;356;318;;
9;Итого классов (без классов для обучающихся с ограниченными возможностями здоровья) (сумма строк 01, 03, 05, 07), ед.;6283;595;649;655;649;631;659;630;634;629;270;256;16;10
10;"В них обучающихся (сумма строк 02, 04, 06, 08;  сумма строк 11 - 13), чел.";142365;13345;14960;15338;14894;14628;15427;14368;14397;14524;5369;4758;239;118
11;в том числе обучаются:          очно;142264;13345;14960;15337;14894;14628;15426;14366;14397;14522;5341;4738;207;103
12;очно-заочно;101;;;1;;;1;2;;2;28;20;32;15
13;заочно;;;;;;;;;;;;;;
14;Из строки 10:          воспитанники (без приходящих учащихся);505;20;14;16;14;13;60;57;56;63;101;91;;
15;девочки;70083;6551;7255;7545;7309;7169;7525;7054;7094;7056;2845;2613;56;11
16;оставленные на повторное обучение;534;161;59;56;58;31;26;43;24;75;1;;;
17;лица с ограниченными возможностями здоровья;2115;175;219;228;286;220;254;258;254;213;2;6;;
18;из них:                инвалиды;;;;;;;;;;;;;;
19;дети-инвалиды;336;48;46;37;39;36;31;34;34;24;2;5;;
20;инвалиды (кроме учтенных в строке 18);1;;;;;;;;;;1;;;
21;дети-инвалиды (кроме учтенных в строке 19);1445;80;113;142;148;140;159;155;175;188;84;61;;
22;дети-сироты и дети, оставшиеся без попечения родителей;966;41;58;68;81;98;141;115;145;143;48;28;;
23;из них воспитанники (без приходящих учащихся);15;;;;;;3;;2;3;3;4;;
24;обучающиеся иностранные граждане;1962;241;304;287;236;204;182;181;157;123;26;21;;
25;из них девочки;852;118;142;116;91;85;81;91;70;36;14;8;;
26;обучающиеся лица без гражданства;5;1;;;;2;;1;;1;;;;
