;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателей;Всего (сумма граф 4 - 9);Из графы 3 – имеют общий стаж работы, лет до 3;Из графы 3 – имеют общий стаж работы, лет от 3 до 5;Из графы 3 – имеют общий стаж работы, лет от 5 до 10;Из графы 3 – имеют общий стаж работы, лет от 10 до 15;Из графы 3 – имеют общий стаж работы, лет от 15 до 20;Из графы 3 – имеют общий стаж работы, лет 20 и более;Из гр. 3  имеют стаж педагоги- ческой работы- всего (сумма граф 11-16);Из графы 10 – имеют педагогический стаж работы, лет до 3;Из графы 10 – имеют педагогический стаж работы, лет от 3 до 5;Из графы 10 – имеют педагогический стаж работы, лет от 5 до 10;Из графы 10 – имеют педагогический стаж работы, лет от 10 до 15;Из графы 10 – имеют педагогический стаж работы, лет от 15 до 20;Из графы 10 – имеют педагогический стаж работы, лет 20 и более;Не имеют стажа педа- гогической работы
1;Численность работников – всего (сумма строк 02, 06, 43, 44);14413;1187;435;1002;1073;1045;9671;10279;1384;557;1043;821;635;5839;4134
2;в том числе:       руководящие работники – всего;1219;9;6;32;86;96;990;974;56;27;68;91;64;668;245
3;из них:             директор;323;1;;;11;14;297;318;3;1;7;24;18;265;5
4;заместители директора;827;7;6;32;74;72;636;646;47;26;61;66;45;401;181
5;руководитель филиала;;;;;;;;;;;;;;;
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);9058;919;351;760;727;619;5682;9007;1175;512;948;712;560;5100;51
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);7922;760;316;654;617;520;5055;7889;916;432;810;611;476;4644;33
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;2457;258;98;203;171;146;1581;2447;274;121;248;184;131;1489;10
9;русского языка и литературы;951;65;30;65;64;47;680;949;80;45;77;60;44;643;2
10;языка народов России и литературы;;;;;;;;;;;;;;;
11;истории, экономики, права, обществознания;471;46;22;50;36;26;291;471;60;30;60;33;25;263;
12;информатики;179;18;6;15;26;22;92;177;24;12;20;26;20;75;2
13;физики;231;16;5;12;11;12;175;230;22;9;11;10;12;166;1
14;математики;729;55;27;49;45;40;513;728;71;41;55;44;33;484;1
15;химии;169;9;3;6;12;15;124;168;11;5;11;13;12;116;1
16;географии;211;12;9;29;15;16;130;211;16;15;31;12;15;122;
17;биологии;249;16;10;16;19;17;171;249;18;10;19;19;25;158;
18;иностранных языков;864;123;58;89;105;87;402;858;140;64;107;94;77;376;6
19;из них:                         английского языка;749;115;53;86;96;82;317;744;132;59;103;84;73;293;5
20;немецкого языка;96;7;4;3;7;5;70;95;7;4;4;7;4;69;1
21;французского языка;19;1;1;;2;;15;19;1;1;;3;;14;
22;китайского языка;;;;;;;;;;;;;;;
23;физической культуры;556;86;28;71;53;40;278;550;102;38;83;53;32;242;6
24;труда (технологии);347;16;4;16;14;23;274;346;30;18;32;25;23;218;1
25;музыки и пения;147;19;5;7;7;6;103;147;27;8;7;7;6;92;
26;изобразительного искусства, черчения;139;14;5;8;16;13;83;138;21;4;13;17;6;77;1
27;основ безопасности и защиты Родины;86;2;1;4;8;3;68;84;11;4;11;7;8;43;2
28;основ духовно-нравственной культуры народов России;4;;;;1;1;2;4;1;;2;;;1;
29;прочих предметов;132;5;5;14;14;6;88;132;8;8;23;7;7;79;
30;учителя-логопеды;67;7;5;15;10;7;23;67;11;8;13;10;7;18;
31;учителя-дефектологи;46;6;;7;6;4;23;46;8;1;10;5;4;18;
32;из них:                   олигофренопедагог;10;2;;1;1;;6;10;3;;1;1;2;3;
33;тифлопедагог;1;;;;;;1;1;;;;;;1;
34;сурдопедагог;1;;;;;;1;1;;;;;;1;
35;социальные педагоги;136;14;2;19;16;13;72;136;32;8;20;14;9;53;
36;педагоги дополнительного образования;110;29;4;7;8;6;56;109;40;9;4;13;4;39;1
37;педагоги-психологи;183;39;9;21;18;21;75;178;52;17;29;16;13;51;5
38;воспитатели;313;20;2;14;24;22;231;311;38;13;22;24;28;186;2
39;мастера производственного обучения;1;;;;;;1;;;;;;;;1
40;тьюторы;5;;;;;;5;5;2;;1;1;;1;
41;советники директора по воспитанию и взаимодействию             с детскими общественными объединениям;39;14;3;7;9;3;3;37;19;5;6;3;2;2;2
42;другие;236;30;10;16;19;23;138;229;57;19;33;15;17;88;7
43;учебно-вспомогательный персонал;587;41;12;40;49;60;385;105;32;11;16;9;7;30;482
44;иной персонал;3549;218;66;170;211;270;2614;193;121;7;11;9;4;41;3356
45;из них:             ассистент (помощник);14;1;;;4;;9;3;;;;;;3;11
46;сурдопереводчик;;;;;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;;;;;
48;Из общей численности педагогических работников (строка 06):             персонал, работающий в подразделениях (группах)             дошкольного образования;114;5;;2;13;13;81;114;14;3;9;11;11;66;
49;из них воспитатели;106;4;;2;12;13;75;106;13;3;9;10;11;60;
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;61;1;;3;7;2;48;61;2;;6;6;3;44;
51;из них учителя;58;1;;3;7;1;46;58;2;;5;6;3;42;
;;;;;;;;;;;;;;;;
;;Данные графы 3 по строкам 01–51 равны данным графы 3 подраздела 3.1 по соответствующим строкам 01-51.;;;;;;;;;;;;;;
