;;;;
;;;;
;;;;
;;;;
;;;;
1;2;3;4;5
№ строки;Наименование показателей;Всего, человек;Из гр.3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 03, 40,41);1363;862;647.9
2;в том числе:       руководящие работники – всего;20;16;8.4
3;педагогические работники - всего (сумма строк 04, 27, 28, 32-39);876;639;417.1
4;в том числе:          учителя–всего (сумма строк 05-15, 20-26);631;483;314.1
5;в том числе:                учителя, осуществляющие деятельность по реализации                программ начального общего образования;27;25;17.1
6;русского языка и литературы;40;38;22.5
7;языка народов России и литературы;;;
8;истории, экономики, права, обществознания;42;35;22.9
9;информатики;45;17;23.3
10;физики;43;30;19
11;математики;34;28;19.5
12;химии;41;35;15.2
13;географии;15;14;7.7
14;биологии;28;28;13.4
15;иностранных языков;84;74;45.8
16;из них:                      английского языка;67;61;37.3
17;немецкого языка;14;10;7.4
18;французского языка;2;2;0.7
19;китайского языка;;;
20;физической культуры;49;17;31.8
21;труда (технологии);29;10;14
22;музыки и пения;35;32;19.5
23;изобразительного искусства, черчения;17;16;5.4
24;основ безопасности и защиты Родины;18;4;6.7
25;основ духовно-нравственной культуры народов России;3;2;0.4
26;прочих предметов;81;78;44.2
27;учителя-логопеды;10;10;5.2
28;учителя-дефектологи;3;3;2.1
29;из них:                олигофренопедагог;;;0.3
30;тифлопедагог;;;
31;сурдопедагог;;;
32;социальные педагоги;4;4;2.8
33;педагоги дополнительного образования;140;72;59.3
34;педагоги-психологи;17;16;6.8
35;воспитатели;6;5;2.5
36;мастера производственного обучения;2;;1
37;тьюторы;1;1;0.5
38;советники директора по воспитанию и взаимодействию          с детскими общественными объединениям;3;3;1.5
39;другие;59;42;28.7
40;учебно-вспомогательный персонал;58;29;27.9
41;иной персонал;409;178;209.2
42;из них:             ассистент(помощник);;;
43;сурдопереводчик;;;
44;тифлосурдопереводчик;;;
45;Из общей численности педагогических работников (стр.03):    персонал, работающий в подразделениях (группах)    дошкольного образования;3;3;1.5
46;из них воспитатели;1;1;0.5
47;персонал , работающий в классах очно-заочного и заочного       обучения, учебно-консультационных пунктах;;;
48;из них учителя;;;
49;Из общей численности учителей (из строки 04 графы 3) - работники организаций - всего;23;;
50;Из общей численности мастеров производственного обучения (из строки 36 графы 3) - работники организаций – всего;;;
51;Из общей численности учителей-дефектологов (стр.28 гр.3) - учителя, имеющие специальное дефектологическое образование;1;;
52;Справочно. Код по ОКЕИ: человек – 792  Кроме того (кроме строки 01), численность медицинских работников (сумма строк 54-55);24;;
53;из них женщин;22;;
54;в том числе:          врачи всех специальностей;17;;
55;медицинские сестры;7;;
56;.Из строки 04 графы 3 – численность учителей, использующих в учебном процессе персональные компьютеры;611;;
