;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;809
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;797
3;Коллегиальные органы управления;781
4;в том числе:       общее собрание;624
5;педагогический совет;772
6;попечительский совет;64
7;управляющий совет;474
8;наблюдательный совет;52
9;другие;149
10;Советы обучающихся;630
11;Советы родителей;618
12;Профессиональные союзы работников;649
13;из строки 03 с участием общественности (родителей, работодателей);533
14;Организация реализует профориентационный минимум;736
15;в том числе:       на базовом уровне;267
16;на основном уровне;457
17;на продвинутом уровне;12
