;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
1;2;3;4;5;6;7;8
№ строки;Наименование показателей;Код государства  по ОКСМ;Всего (сумма граф 5–8);Численность обучающихся во всех классах кроме классов для обучающихся с ограниченными возможностями здоровья, по программам начального об-щего образова-ния (1-4 классы);Численность обучающихся во всех классах кроме классов для обучающихся с ограниченными возможностями здоровья, по программам основного об-щего образова-ния (5–9 классы);Численность обучающихся во всех классах кроме классов для обучающихся с ограниченными возможностями здоровья, по программам среднего общего образования (10–11(12) классы);Численность обучающихся в классах для обучающихся с ограниченными возможностями здоровья
1;Численность обучающихся иностранных граждан - всего;;1376;673;607;86;10
2;Афганистан;4;11;4;7;;
3;Азербайджан;31;195;99;81;13;2
4;Армения;51;173;68;94;11;
5;Беларусь;112;16;5;10;1;
6;Эстония;233;3;2;1;;
7;Финляндия;246;1;1;;;
8;Грузия;268;11;6;5;;
9;Германия;276;7;4;3;;
10;Иран (Исламская Республика);364;2;1;1;;
11;Израиль;376;3;2;1;;
12;Италия;380;1;;1;;
13;Казахстан;398;49;13;30;6;
14;Иордания;400;1;1;;;
15;Корея, Республика;410;1;1;;;
16;Киргизия;417;31;12;15;4;
17;Молдова, Республика;498;4;;4;;
18;Сербия;688;2;1;1;;
19;Вьетнам;704;15;8;4;3;
20;Испания;724;1;;1;;
21;Сирийская Арабская Республика;760;6;3;3;;
22;Таджикистан;762;472;263;189;19;1
23;Тунис;788;2;1;1;;
24;Турция;792;1;;1;;
25;Туркменистан;795;8;5;2;1;
26;Украина;804;45;17;21;6;1
27;Соединенные Штаты;840;1;1;;;
28;Узбекистан;860;313;154;131;22;6
29;Южная Осетия;896;1;1;;;
30;;;;;;;
31;;;;;;;
32;;;;;;;
33;;;;;;;
34;;;;;;;
35;;;;;;;
36;;;;;;;
37;;;;;;;
38;;;;;;;
39;;;;;;;
40;;;;;;;
41;;;;;;;
42;;;;;;;
43;;;;;;;
44;;;;;;;
45;;;;;;;
46;;;;;;;
47;;;;;;;
48;;;;;;;
49;;;;;;;
50;;;;;;;
51;;;;;;;
52;;;;;;;
53;;;;;;;
54;;;;;;;
55;;;;;;;
56;;;;;;;
57;;;;;;;
58;;;;;;;
59;;;;;;;
60;;;;;;;
61;;;;;;;
62;;;;;;;
63;;;;;;;
64;;;;;;;
65;;;;;;;
66;;;;;;;
67;;;;;;;
68;;;;;;;
69;;;;;;;
70;;;;;;;
71;;;;;;;
72;;;;;;;
73;;;;;;;
74;;;;;;;
75;;;;;;;
76;;;;;;;
77;;;;;;;
78;;;;;;;
79;;;;;;;
80;;;;;;;
81;;;;;;;
82;;;;;;;
83;;;;;;;
84;;;;;;;
85;;;;;;;
86;;;;;;;
87;;;;;;;
88;;;;;;;
89;;;;;;;
90;;;;;;;
91;;;;;;;
92;;;;;;;
93;;;;;;;
94;;;;;;;
95;;;;;;;
96;;;;;;;
97;;;;;;;
98;;;;;;;
99;;;;;;;
100;;;;;;;
101;;;;;;;
102;;;;;;;
103;;;;;;;
104;;;;;;;
105;;;;;;;
106;;;;;;;
107;;;;;;;
108;;;;;;;
109;;;;;;;
110;;;;;;;
111;;;;;;;
112;;;;;;;
113;;;;;;;
114;;;;;;;
115;;;;;;;
116;;;;;;;
117;;;;;;;
118;;;;;;;
119;;;;;;;
120;;;;;;;
121;;;;;;;
122;;;;;;;
123;;;;;;;
124;;;;;;;
125;;;;;;;
126;;;;;;;
127;;;;;;;
128;;;;;;;
129;;;;;;;
130;;;;;;;
