;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателей;Всего (сумма граф 4 - 9);Из графы 3 – имеют общий стаж работы, лет до 3;Из графы 3 – имеют общий стаж работы, лет от 3 до 5;Из графы 3 – имеют общий стаж работы, лет от 5 до 10;Из графы 3 – имеют общий стаж работы, лет от 10 до 15;Из графы 3 – имеют общий стаж работы, лет от 15 до 20;Из графы 3 – имеют общий стаж работы, лет 20 и более;Из гр. 3  имеют стаж педагоги- ческой работы- всего (сумма граф 11-16);Из графы 10 – имеют педагогический стаж работы, лет до 3;Из графы 10 – имеют педагогический стаж работы, лет от 3 до 5;Из графы 10 – имеют педагогический стаж работы, лет от 5 до 10;Из графы 10 – имеют педагогический стаж работы, лет от 10 до 15;Из графы 10 – имеют педагогический стаж работы, лет от 15 до 20;Из графы 10 – имеют педагогический стаж работы, лет 20 и более;Не имеют стажа педа- гогической работы
1;Численность работников – всего (сумма строк 02, 06, 43, 44);26582;1579;879;1993;2603;2738;16790;19608;1733;980;1887;2044;1787;11177;6974
2;в том числе:       руководящие работники – всего;994;1;3;20;72;92;806;928;5;10;51;74;85;703;66
3;из них:             директор;636;1;2;11;47;57;518;629;2;9;33;52;60;473;7
4;заместители директора;346;;1;9;25;32;279;296;3;1;18;22;25;227;50
5;руководитель филиала;2;;;;;;2;2;;;;;;2;
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);18801;1351;700;1445;1890;1840;11575;18503;1684;956;1818;1942;1679;10424;298
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);15731;1100;578;1162;1499;1467;9925;15549;1246;733;1394;1548;1370;9258;182
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;4769;360;193;379;326;401;3110;4715;370;234;424;345;382;2960;54
9;русского языка и литературы;1989;102;51;109;164;177;1386;1972;112;59;126;181;182;1312;17
10;языка народов России и литературы;;;;;;;;;;;;;;;
11;истории, экономики, права, обществознания;1056;88;40;70;114;78;666;1043;100;48;96;110;71;618;13
12;информатики;307;28;12;32;47;39;149;302;33;17;37;47;38;130;5
13;физики;489;21;13;40;40;33;342;484;28;23;43;39;32;319;5
14;математики;1522;103;54;99;146;141;979;1508;118;68;117;152;123;930;14
15;химии;333;21;9;20;29;31;223;329;22;10;23;34;31;209;4
16;географии;532;23;15;30;42;45;377;526;24;16;37;51;42;356;6
17;биологии;502;27;17;43;47;47;321;494;33;17;52;48;43;301;8
18;иностранных языков;1713;174;78;152;241;231;837;1687;185;95;186;230;203;788;26
19;из них:                         английского языка;1451;157;74;134;222;197;667;1427;168;90;165;207;175;622;24
20;немецкого языка;223;14;3;16;15;30;145;221;14;4;19;18;25;141;2
