;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателя;Всего  (сумма граф 4 - 17);1-й класс;1-й класс первого года обучения;1-й класс второго года обучения;2-й класс;3-й класс;4-й класс;5-й класс;6-й класс;7-й класс;8-й класс;9-й класс;10-й класс;11-й класс;12-й класс
1;Число классов с нормативным сроком освоения программ 9 лет, ед.;345;21;;;25;35;41;48;50;44;44;37;;;
2;В них обучающихся, чел.;1478;65;;;100;156;183;216;206;203;190;159;;;
3;Число классов с нормативным сроком освоения программ 10 лет, ед.;106;;12;14;9;8;7;12;10;7;11;6;10;;
4;В них обучающихся, чел.;503;;51;45;20;32;43;48;56;15;61;51;81;;
5;Число классов с нормативным сроком освоения программ 11 лет, ед.;11;1;1;1;;1;1;;1;1;;;2;2;
6;В них обучающихся, чел.;55;1;10;2;;1;1;;1;1;;;14;24;
7;Число классов с нормативным сроком освоения программ 12 лет, ед.;32;1;;;3;4;2;3;4;3;2;2;5;3;
8;В них обучающихся, чел.;394;6;;;32;40;25;31;56;39;34;26;71;34;
9;Число классов с нормативным сроком освоения программ 13 лет, ед.;51;;5;3;4;5;6;6;5;5;6;5;1;;
10;В них обучающихся, чел.;500;;39;32;49;47;68;54;49;58;55;40;9;;
11;Итого классов для обучающихся с умственной отсталостью (интеллектуальными нарушениями), ед. (сумма строк 01, 03, 05, 07, 09);545;23;18;18;41;53;57;69;70;60;63;50;18;5;
12;"В них обучающихся, чел. (сумма строк 02, 04, 06, 08, 10;    сумма строк 13-15)";2930;72;100;79;201;276;320;349;368;316;340;276;175;58;
13;в том числе обучаются:          очно;2926;71;100;79;201;276;320;348;367;315;340;276;175;58;
14;очно-заочно;4;1;;;;;;1;1;1;;;;;
15;заочно;;;;;;;;;;;;;;;
16;из них (из строки 12):       воспитанники (без приходящих учащихся);160;5;2;2;9;14;17;18;27;13;22;18;6;7;
17;девочки;1056;20;34;24;83;84;120;116;134;108;128;107;65;33;
18;лица с ограниченными возможностями здоровья;2930;72;100;79;201;276;320;349;368;316;340;276;175;58;
19;из них (из строки 18):             инвалиды;116;;;;5;2;1;9;22;6;11;18;27;15;
20;дети-инвалиды;1394;54;80;60;111;158;148;160;146;134;144;101;89;9;
21;инвалиды (кроме учтенных в строке 19);;;;;;;;;;;;;;;
22;дети-инвалиды (кроме учтенных в строке 20);;;;;;;;;;;;;;;
23;дети-сироты и дети, оставшиеся без попечения родителей;82;;1;;6;5;5;9;6;14;12;15;8;1;
24;из них воспитанники (без приходящих учащихся);3;;;;;1;;;;;2;;;;
25;обучающиеся иностранные граждане;1;;;;;;;;;1;;;;;
26;из них девочки;;;;;;;;;;;;;;;
27;обучающиеся лица без гражданства;;;;;;;;;;;;;;;
