;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование показателей;"Всего  (сумма граф 4-6; сумма граф 7-9)";Из графы 3 обучающихся по образовательным программам начального общего образования (1–4 классы);Из графы 3 обучающихся по образовательным программам основного общего образования (5–9 классы);Из графы 3 обучающихся по образовательным программам среднего общего образования (10–11(12) классы);Из графы 3 обучаются очно;Из графы 3 обучаются очно-заочно;Из графы 3 обучаются заочно
1;Численность обучающихся, углубленно изучающих  учебные предметы - всего;15252;630;5908;8714;14898;354;
2;из них:        русский язык;392;;242;150;356;36;
3;литературное чтение;;;;;;;
4;родной язык и (или) государственный язык       республики Российской Федерации;;;;;;;
5;литературное чтение на родном языке;;;;;;;
6;окружающий мир;;;;;;;
7;математика;6930;149;2189;4592;6929;1;
8;изобразительное искусство;;;;;;;
9;музыка;;;;;;;
10;труд (технология);;;;;;;
11;физическая культура;;;;;;;
12;литература;1194;;238;956;1022;172;
13;родная литература;;;;;;;
14;иностранный язык;3488;481;2545;462;3488;;
15;из них:              английский;3325;481;2396;448;3325;;
16;немецкий;163;;149;14;163;;
17;французский;;;;;;;
18;испанский;;;;;;;
19;другие европейские языки;;;;;;;
20;китайский;;;;;;;
21;другие восточные языки;;;;;;;
22;информатика;2500;;555;1945;2459;41;
23;история;1312;;59;1253;1238;74;
24;обществознание;4427;;185;4242;4305;122;
25;география;480;;;480;340;140;
26;физика;2890;;975;1915;2868;22;
27;химия;2053;;665;1388;2052;1;
28;биология;2571;;913;1658;2522;49;
29;основы безопасности и защиты Родины;;;;;;;
