;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
№ строки;Наименование показателей;Общая численность обучающихся (сумма граф  4, 7, 10);Численность обучающихся по программам начального общего образования – всего (1–4 классы);Численность обучающихся по программам из графы 4 девочки;Численность обучающихся по программам из графы 4 обучающиеся 1-х классов без оставленных на повторное обучение;Численность обучающихся по программам основного общего образования – всего (5-9 классы);Численность обучающихся по программам из графы 7 девочки;Численность обучающихся по программам из графы 7 обучающиеся 5-х классов без оставленных на повторное обучение;Численность обучающихся по программам среднего общего образования – всего (10-11(12) классы;Численность обучающихся по программам из графы 10 девочки;Численность обучающихся по программам из графы 10 обучающиеся 10-х классов без оставленных на повторное обучение;из них (из графы 3) обучающиеся по очно-заочной и заочной формам обучения*;из них (из графы 3) обучающиеся иностранные граждане;из них (из графы 3) из них (из гр. 14) девочки;из них (из графы 3) обучающиеся лица без гражданства
1;Всего;138394;58220;28754;12958;71389;35151;14791;8785;4917;4479;683;435;20;
2;В том числе в возрасте (число полных лет на 1 января следующего календарного года):    5 лет;1;1;;1;;;;;;;;;;
3;6 лет;336;336;198;333;;;;;;;;1;;
4;7 лет;10735;10735;5405;10332;;;;;;;;55;7;
5;8 лет;14463;14463;7188;2224;;;;;;;;55;1;
6;9 лет;15177;15175;7504;61;2;2;2;;;;;60;;
7;10 лет;15023;14456;7123;5;567;322;539;;;;;60;4;
8;11 лет;15175;2803;1243;1;12372;6114;11747;;;;;43;1;
9;12 лет;15140;188;69;1;14952;7477;2387;;;;1;40;2;
10;13 лет;14042;37;15;;14005;6952;100;;;;2;40;2;
11;14 лет;13692;14;5;;13677;6734;8;1;1;1;13;39;;
12;15 лет;13056;5;3;;12852;6309;1;199;118;197;23;24;2;
13;16 лет;6181;;;;2368;1054;1;3813;2138;3534;44;13;1;
14;17 лет;4298;1;;;325;103;1;3972;2252;621;54;3;;
15;18 лет;565;2;1;;94;31;;469;260;23;57;2;;
16;19 лет;77;;;;54;17;;23;16;7;59;;;
17;20 лет;42;;;;23;8;;19;9;4;40;;;
18;21 год;44;;;;16;8;;28;13;7;43;;;
19;22 года;29;;;;9;6;;20;10;2;29;;;
20;23 года;28;;;;2;;;26;15;6;28;;;
21;24 года;20;;;;4;1;;16;8;4;20;;;
22;25 лет;28;;;;7;2;;21;8;9;28;;;
23;26 лет;37;;;;10;5;1;27;12;12;37;;;
24;27 лет;32;;;;3;1;;29;11;12;32;;;
25;28 лет;28;;;;3;;1;25;12;9;28;;;
26;29 лет;35;;;;10;1;;25;9;13;35;;;
27;30–34 года;46;1;;;15;2;2;30;9;11;46;;;
28;35–39 лет;27;1;;;8;2;1;18;11;5;27;;;
29;40 лет и старше;37;2;;;11;;;24;5;2;37;;;
*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05
