;;;;
;;;;
;;;;
;;;;
;;;;
1;2;3;4;5
№ строки;Наименование показателей;Всего, человек;Из гр.3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 03, 40,41);755;485;411.4
2;в том числе:       руководящие работники – всего;6;5;2.6
3;педагогические работники - всего (сумма строк 04, 27, 28, 32-39);465;357;239.5
4;в том числе:          учителя–всего (сумма строк 05-15, 20-26);309;239;168.3
5;в том числе:                учителя, осуществляющие деятельность по реализации                программ начального общего образования;10;8;5
6;русского языка и литературы;18;16;7.9
7;языка народов России и литературы;;;
8;истории, экономики, права, обществознания;18;13;9.9
9;информатики;20;12;11.3
10;физики;21;11;13
11;математики;22;19;14.6
12;химии;20;17;10.3
13;географии;5;4;2.8
14;биологии;18;17;8.9
15;иностранных языков;46;44;23.8
16;из них:                      английского языка;35;35;19.6
17;немецкого языка;9;8;3.3
18;французского языка;;;
19;китайского языка;;;
20;физической культуры;27;11;17.9
21;труда (технологии);10;6;6.1
22;музыки и пения;34;31;18.5
23;изобразительного искусства, черчения;8;8;3.3
24;основ безопасности и защиты Родины;6;;3.3
25;основ духовно-нравственной культуры народов России;1;;0.2
26;прочих предметов;25;22;11.5
27;учителя-логопеды;22;22;10.6
28;учителя-дефектологи;16;16;6.3
29;из них:                олигофренопедагог;7;7;2
30;тифлопедагог;1;1;0.2
31;сурдопедагог;;;
32;социальные педагоги;2;2;1
33;педагоги дополнительного образования;60;31;28.2
34;педагоги-психологи;16;16;6
35;воспитатели;8;3;4.4
36;мастера производственного обучения;;;
37;тьюторы;2;2;1.5
38;советники директора по воспитанию и взаимодействию          с детскими общественными объединениям;5;5;1.4
39;другие;25;21;11.8
40;учебно-вспомогательный персонал;23;11;12.7
41;иной персонал;261;112;156.6
42;из них:             ассистент(помощник);1;1;0.5
43;сурдопереводчик;;;
44;тифлосурдопереводчик;;;
45;Из общей численности педагогических работников (стр.03):    персонал, работающий в подразделениях (группах)    дошкольного образования;;;
46;из них воспитатели;;;
47;персонал , работающий в классах очно-заочного и заочного       обучения, учебно-консультационных пунктах;9;8;7
48;из них учителя;9;8;7
49;Из общей численности учителей (из строки 04 графы 3) - работники организаций - всего;34;;
50;Из общей численности мастеров производственного обучения (из строки 36 графы 3) - работники организаций – всего;;;
51;Из общей численности учителей-дефектологов (стр.28 гр.3) - учителя, имеющие специальное дефектологическое образование;6;;
52;Справочно. Код по ОКЕИ: человек – 792  Кроме того (кроме строки 01), численность медицинских работников (сумма строк 54-55);24;;
53;из них женщин;24;;
54;в том числе:          врачи всех специальностей;2;;
55;медицинские сестры;22;;
56;.Из строки 04 графы 3 – численность учителей, использующих в учебном процессе персональные компьютеры;301;;
