;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13
№ строки;Наименование показателей;Число ставок   по штату, единиц;Фактически занято, единиц всего;Фактически занято, единиц работниками списочного состава;Численность работников на начало предыдущего учебного года (без внешних совместителей и работавших по договорам гражданско-правового характера), человек;Принято работников, человек всего;Принято работников, человек из них выпускники: со средним про-фессиональным образованием по программам подготовки специалистов среднего звена;Принято работников, человек из них выпускники: с высшим образованием;Выбыло работников, человек всего;Выбыло работников, человек из них по собственному желанию;Численность работников на начало отчет- ного учебного года (без совместителей и работающих по договорам гражданско-правового характера), человек;Число вакантных должностей, единиц
1;Численность работников – всего (сумма строк 02, 06, 43,44);20750.99;20492;20080.96;13793;1810;104;124;1916;1749;13687;371
2;в том числе:       руководящие работники – всего;1152.5;1130.9;1128.35;948;90;;;83;79;955;25
3;из них:             директор;321.5;320.8;320.3;317;16;;;21;17;317;2
4;заместители директора;807.05;788.7;786.65;618;71;;;55;54;629;21
5;руководитель филиала;7.65;4.65;4.65;6;;;;3;3;3;
6;педагогические работники - всего (сумма строк 07, 30, 31, 35-42);15943.68;15769.14;15528.77;9858;1300;101;123;1306;1194;9871;289
7;в том числе:             учителя–всего (сумма строк 08-18, 23-29);13286.49;13253.53;13082.11;8437;982;90;101;1068;981;8345;136
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;3641.06;3630.29;3623.53;2733;250;64;19;264;248;2704;16
9;русского языка и литературы;1615.3;1610.18;1602.46;995;123;2;17;120;107;1001;19
10;языка народов России и литературы;10.87;10.84;10.84;;;;;;;;
11;истории, экономики, права, обществознания;803.7;801.98;791.98;530;74;1;12;71;69;534;5
12;информатики;298.73;298.73;287.42;189;18;1;3;24;18;180;3
13;физики;363.84;362.84;350.45;229;33;1;1;31;29;235;4
14;математики;1317.07;1313.01;1299.44;748;99;;10;97;95;750;39
15;химии;237.17;237.17;225.94;190;17;1;3;22;20;188;7
16;географии;356.18;355.18;352.25;257;30;;5;31;28;255;1
17;биологии;423.63;423.23;414.56;235;30;;4;35;30;229;5
18;иностранных языков;1337.81;1333.44;1310.15;901;106;;14;144;131;856;21
19;из них:                         английского языка;1193.08;1189.41;1169.83;729;98;;12;92;85;742;19
