;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;710
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;706
3;Коллегиальные органы управления;710
4;в том числе:       общее собрание;607
5;педагогический совет;699
6;попечительский совет;105
7;управляющий совет;508
8;наблюдательный совет;48
9;другие;199
10;Советы обучающихся;616
11;Советы родителей;607
12;Профессиональные союзы работников;655
13;из строки 03 с участием общественности (родителей, работодателей);566
14;Организация реализует профориентационный минимум;704
15;в том числе:       на базовом уровне;287
16;на основном уровне;216
17;на продвинутом уровне;201
