;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателя;Всего  (сумма граф 4 - 17);1-й класс;1-й класс первого года обучения;1-й класс второго года обучения;2-й класс;3-й класс;4-й класс;5-й класс;6-й класс;7-й класс;8-й класс;9-й класс;10-й класс;11-й класс;12-й класс
1;Число классов с нормативным сроком освоения программ 9 лет, ед.;101;9;;;8;9;8;12;15;15;12;13;;;
2;В них обучающихся, чел.;871;68;;;57;85;75;92;117;128;121;128;;;
3;Число классов с нормативным сроком освоения программ 10 лет, ед.;3;;2;1;;;;;;;;;;;
4;В них обучающихся, чел.;19;;12;7;;;;;;;;;;;
5;Число классов с нормативным сроком освоения программ 11 лет, ед.;4;;;;;;;1;;;;;3;;
6;В них обучающихся, чел.;22;;;;;;;5;;;;;17;;
7;Число классов с нормативным сроком освоения программ 12 лет, ед.;37;3;;;3;1;4;4;4;5;3;4;6;;
8;В них обучающихся, чел.;221;14;;;15;5;20;21;26;31;24;30;35;;
9;Число классов с нормативным сроком освоения программ 13 лет, ед.;29;;1;2;2;2;1;4;6;3;4;2;1;1;
10;В них обучающихся, чел.;99;;3;5;5;5;2;19;20;13;15;8;3;1;
11;Итого классов для обучающихся с умственной отсталостью (интеллектуальными нарушениями), ед. (сумма строк 01, 03, 05, 07, 09);174;12;3;3;13;12;13;21;25;23;19;19;10;1;
12;"В них обучающихся, чел. (сумма строк 02, 04, 06, 08, 10;    сумма строк 13-15)";1232;82;15;12;77;95;97;137;163;172;160;166;55;1;
13;в том числе обучаются:          очно;1231;82;15;12;77;95;97;137;163;171;160;166;55;1;
14;очно-заочно;;;;;;;;;;;;;;;
15;заочно;1;;;;;;;;;1;;;;;
16;из них (из строки 12):       воспитанники (без приходящих учащихся);442;25;8;4;39;47;43;43;43;50;64;66;9;1;
17;девочки;410;29;7;2;21;33;40;48;51;50;50;53;25;1;
18;лица с ограниченными возможностями здоровья;1232;82;15;12;77;95;97;137;163;172;160;166;55;1;
19;из них (из строки 18):             инвалиды;21;;;;;;;;1;2;6;8;4;;
20;дети-инвалиды;772;49;7;2;46;48;58;92;112;113;99;106;40;;
21;инвалиды (кроме учтенных в строке 19);;;;;;;;;;;;;;;
22;дети-инвалиды (кроме учтенных в строке 20);;;;;;;;;;;;;;;
23;дети-сироты и дети, оставшиеся без попечения родителей;119;8;;;8;11;16;10;8;8;6;21;23;;
24;из них воспитанники (без приходящих учащихся);6;;;;;1;1;2;;1;1;;;;
25;обучающиеся иностранные граждане;;;;;;;;;;;;;;;
26;из них девочки;;;;;;;;;;;;;;;
27;обучающиеся лица без гражданства;;;;;;;;;;;;;;;
