;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
№ строки;Наименование профессии по Перечню профессий рабочих, должностей служащих, по которым осуществляется профессиональное обучение, утвержденному приказом  Минпросвещения России от 14 июля 2023 г. № 534;Код  профессии (при наличии);"Всего  обучено за период с 20.09 прошлого года по 19.09 текущего года (сумма граф 5 – 10; сумма граф 18-20)";В том числе из числа обучающихся (обучавшихся): за счет бюджетных ассигнований федерального бюджета;В том числе из числа обучающихся (обучавшихся): за счет бюджетных ассигнований бюджета субъекта Российской Федерации;В том числе из числа обучающихся (обучавшихся): за счет бюджетных ассигнований местного бюджета;В том числе из числа обучающихся (обучавшихся): по договорам об оказании платных образовательных услуг за счет средств лиц, зачисляе- мых на обуче- ние (родителей (законных пре- дставителей) несовершенно- летних обучающихся);В том числе из числа обучающихся (обучавшихся): по договорам об оказании платных образовательных услуг за счет средств иных физических лиц;В том числе из числа обучающихся (обучавшихся): по договорам об оказании платных образовательных услуг за счет средств юридических лиц;Из общей численности обученных (из графы 4) девушки;Из общей численности обученных (из графы 4) прошли ускоренное обучение по индивидуаль-ным учебным планам;Из общей численности обученных (из графы 4) лица с ограни-ченными воз-можностями здоровья;Из общей численности обученных (из графы 4) из них (из графы 13): инвалиды;Из общей численности обученных (из графы 4) из них (из графы 13): дети-инвалиды;Из общей численности обученных (из графы 4) инвалиды  (кроме учтенных в графе 14);Из общей численности обученных (из графы 4) дети-инвалиды (кроме учтенных в графе 15);Из общей численности обученных (из графы 4) обучались (обучаются) очно;Из общей численности обученных (из графы 4) обучались (обучаются) очно-заочно;Из общей численности обученных (из графы 4) обучались (обучаются) заочно
1;Программы профессиональной подготовки по профессиям рабочих, должностям служащих – всего;;1526;68;1417;41;;;;606;;21;2;9;;3;1421;59;46
2;Аппаратчик варки утфеля;10114;1;;1;;;;;;;;;;;;1;;
3;Водитель автомобиля;11442;10;10;;;;;;5;;;;;;;10;;
4;Горничная;11695;4;4;;;;;;4;;;;;;;4;;
5;Замерщик на топографо-геодезических и маркшейдерских работах;12192;29;;29;;;;;2;;1;;;;;29;;
6;Кондитер;12901;96;;96;;;;;68;;1;;;;;96;;
7;Контролер энергосбыта;13098;76;;76;;;;;12;;2;;;;;76;;
8;Лаборант-микробиолог;13265;105;12;93;;;;;102;;;;;;;105;;
9;Лаборант химического анализа;13321;2;;2;;;;;2;;;;;;;2;;
10;Маляр;13450;1;;1;;;;;;;;;;;;1;;
11;Наладчик технологического оборудования;14995;28;;28;;;;;1;;;;;;;28;;
12;Наладчик технологического оборудования;14996;68;;35;33;;;;;;;;;;;68;;
13;Оператор станков с программным управлением;16045;131;13;118;;;;;;;;;;;;131;;
14;Оператор электронно-вычислительных и вычислительных машин;16199;65;;65;;;;;12;;;;;;;65;;
15;Парикмахер;16437;6;;6;;;;;3;;;;;;;6;;
16;Пекарь;16472;86;;86;;;;;59;;1;;;;;86;;
17;Повар;16675;127;;127;;;;;92;;6;2;2;;;127;;
18;Пожарный;16781;30;;30;;;;;5;;;;;;;30;;
19;Радиомеханик по ремонту радиоэлектронного оборудования;17556;26;;26;;;;;;;;;;;;26;;
20;Резчик свеклы;17951;2;;2;;;;;;;;;;;;2;;
21;Санитар ветеринарный;18111;24;;24;;;;;21;;;;;;;24;;
22;Слесарь по ремонту автомобилей;18511;6;;6;;;;;;;;;;;;6;;
23;Слесарь по ремонту сельскохозяйственных машин и оборудования;18545;89;;89;;;;;3;;2;;1;;;89;;
24;Тракторист;19203;10;;2;8;;;;;;;;;;;10;;
25;Тракторист-машинист сельскохозяйственного производства;19205;5;;5;;;;;;;;;;;;5;;
26;Художник по костюму;19523;1;;1;;;;;1;;;;;;;1;;
27;Цветочница;19525;30;29;1;;;;;18;;;;;;;30;;
28;Электромонтажник по освещению и осветительным сетям;19806;161;;161;;;;;65;;3;;1;;2;102;59;
29;Электросварщик ручной сварки;19906;5;;5;;;;;;;;;;;;5;;
30;Агент;20001;31;;31;;;;;12;;;;;;;9;;22
31;Агент по закупкам;20015;32;;32;;;;;18;;;;;;;8;;24
32;Вожатый;20434;156;;156;;;;;70;;;;;;1;156;;
33;Младший воспитатель;24236;2;;2;;;;;2;;;;;;;2;;
34;Портье;25627;6;;6;;;;;;;;;;;;6;;
35;Социальный работник;26527;32;;32;;;;;28;;;;;;;32;;
36;Чертежник-конструктор;27534;38;;38;;;;;;;;;;;;38;;
37;Рабочий по комплексной уборке в жилищной сфере;777153;5;;5;;;;;1;;5;;5;;;5;;
38;;;;;;;;;;;;;;;;;;;
39;;;;;;;;;;;;;;;;;;;
40;;;;;;;;;;;;;;;;;;;
