;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
№ строки;Наименование показателей;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья Всего (сумма граф 9–11);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья из них лица с ограни- ченными возможностя- ми здоровья;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья из них из графы 4 инвалиды;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья из них из графы 4 дети-инвалиды;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья из них инвалиды (кроме учтенных в графе 5);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья из них дети-инвалиды (кроме учтенных в графе 6);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья Из графы 3 обучались очно;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья Из графы 3 обучались очно-заочно;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья Из графы 3 обучались заочно;Классы для обучающихся с ограниченными возможностями здоровья Всего;Классы для обучающихся с ограниченными возможностями здоровья из них лица с ограни- ченными возможностя- ми здоровья;Классы для обучающихся с ограниченными возможностями здоровья из них из графы 13 инвалиды;Классы для обучающихся с ограниченными возможностями здоровья из них из графы 13 дети-инвалиды;Классы для обучающихся с ограниченными возможностями здоровья из них инвалиды (кроме учтенных в графе 14);Классы для обучающихся с ограниченными возможностями здоровья из них дети-инвалиды (кроме учтенных в графе 15);Итого по всем классам (сумма граф 3, 12);Кроме того, численность экстернов;из них лица с ограни- ченными возможностя- ми здоровья;из них из графы 20 инвалиды;из них из графы 20 дети-инвалиды;из них инвалиды (кроме учтенных в графе 21);из них дети-инвалиды (кроме учтенных в графе 22)
1;Численность обучающихся (гр. 3–18) и экстернов (гр. 19–24), допущенных к ГИА по образовательным программам основного общего образования (сумма строк 02, 04, 05);23863;329;2;98;3;184;23689;118;56;60;60;6;25;;;23923;181;3;;3;;2
2;в том числе:       получили аттестат об основном общем образовании;23484;319;2;96;3;184;23346;90;48;60;60;6;25;;;23544;148;3;;3;;2
3;из них (из строки 02) продолжили обучение по образовательной          программе среднего общего образования в данной организации;9259;25;;13;;58;9214;33;12;14;14;2;10;;;9273;5;1;;1;;
4;получили на ГИА неудовлетворительные результаты;349;5;;1;;;318;24;7;;;;;;;349;33;;;;;
5;не участвовали в ГИА;30;5;;1;;;25;4;1;;;;;;;30;;;;;;
6;Из строки 02 получили аттестат об основном общем образовании:    с отличием;1738;5;;3;;13;1738;;;3;3;;;;;1741;4;;;;;
7;в IV квартале прошлого года;158;1;;;;2;158;;;;;;;;;158;14;;;;;
8;после 1 сентября текущего года;919;4;;;;2;892;23;4;;;;;;;919;19;;;;;
9;Численность обучающихся (графы 3–18) и экстернов (графы 19–24), допущенных к ГИА по образовательным программам среднего общего образования (сумма строк 10–12);8933;34;;20;1;80;8503;371;59;16;16;15;;;;8949;40;;;;;
10;в том числе:       получили аттестат о среднем общем образовании;8823;33;;20;1;80;8442;346;35;16;16;15;;;;8839;38;;;;;
11;получили на ГИА неудовлетворительные результаты;100;1;;;;;60;25;15;;;;;;;100;2;;;;;
12;не участвовали в ГИА;10;;;;;;1;;9;;;;;;;10;;;;;;
13;Из строки 10 получили аттестат о среднем общем образовании:    с отличием и медаль «За особые успехи в учении»;1987;5;;1;;9;1972;15;;2;;;;;;1989;9;;;;;
14;в IV квартале прошлого года;128;;;;;3;128;;;;;;;;;128;6;;;;;
15;после 1 сентября текущего года;53;;;;;;35;18;;;;;;;;53;1;;;;;
16;Из общей численности участвовавших в ГИА (из суммы строк 10 и 11)    участвовали в едином государственном экзамене (ЕГЭ)*;8866;27;;13;;72;8472;362;32;4;4;4;;;;8870;39;;;;;
17;участвовали в ЕГЭ по русскому языку (из строки 16);8865;25;;11;;63;8472;362;31;4;4;4;;;;8869;38;;;;;
18;из них сдали ЕГЭ;8813;23;;10;;58;8446;347;20;4;4;4;;;;8817;38;;;;;
19;участвовали в ЕГЭ по математике (из строки 16);8865;25;;11;;63;8472;362;31;4;4;4;;;;8869;39;;;;;
20;из них сдали ЕГЭ;8772;23;;10;;59;8417;337;18;4;4;4;;;;8776;37;;;;;
21;участвовали в ГИА в иной (кроме ЕГЭ) форме*;57;7;;7;1;8;30;9;18;12;12;11;;;;69;1;;;;;
22;Выпущено лиц, не получивших основного общего и среднего общего образования, со свидетельством об обучении;152;148;2;70;1;;151;1;;151;151;9;81;;;303;1;;;;;
23;"Справочно. Код по ОКЕИ: человек – 792  Из численности обучавшихся во всех классах, получивших аттестат о сред-нем общем образовании с отличием и медаль «За особые успехи в учении» (из строки 13 графы 18):    получили аттестат красного цвета и медаль ""За особые успехи    в учении"" I степени";1200;;;;;;;;;;;;;;;;;;;;;
24;"получили аттестат сине-голубого цвета и медаль ""За особые успехи    в учении"" II степени";789;;;;;;;;;;;;;;;;;;;;;
25;"Из численности обучавшихся экстернов, получивших аттестат о среднем общем образовании с отличием и медаль «За особые успехи в учении» (из строки 13 графы 19):    получили аттестат красного цвета и медаль ""За особые успехи    в учении"" I степени";2;;;;;;;;;;;;;;;;;;;;;
26;"получили аттестат сине-голубого цвета и медаль ""За особые успехи    в учении"" II степени";7;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;Сумма строк 16 и 21 равна сумме строк 10 и 11 по всем графам;Сумма строк 16 и 21 равна сумме строк 10 и 11 по всем графам;Сумма строк 16 и 21 равна сумме строк 10 и 11 по всем графам;Сумма строк 16 и 21 равна сумме строк 10 и 11 по всем графам;Сумма строк 16 и 21 равна сумме строк 10 и 11 по всем графам;;;;;;;;;;;;;;;;;
