;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14
№ строки;Наименование показателя;"Всего  (сумма граф 4–10;  сумма граф  12-14)";Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы начального общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы основного общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья образование обучающихся с умственной отсталостью (интеллектуаль- ными нарушениями);Из графы 3 – лица в возрасте 18 лет и старше;Из графы 3 - обучались очно;Из графы 3 - обучались очно-заочно;Из графы 3 - обучались заочно
1;Выбыло обучающихся – всего (сумма строк 02, 05, 08–13);15967;5708;8530;1459;81;61;2;126;619;15477;203;287
2;в том числе:       продолжили обучение в данной организации в классах  иной формы       обучения или иной направленности;108;35;51;17;5;;;;17;87;2;19
3;из них (из строки 02):             в классах с иной формой обучения в пределах одной и той же             направленности;8;;8;;;;;;8;;2;6
4;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в классы для обучающихся             с ограниченными возможностями здоровья;;;;;;;;;;;;
5;выбыли в другие организации для продолжения обучения по       программам начального, основного или среднего общего образования;14419;5619;7859;728;76;61;1;75;199;14410;9;
6;из них (из строки 05) выбыло:             в классы иной формы обучения в пределах одной и той же             направленности;475;209;208;9;;;;49;1;475;;
7;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в организации (классы) для обучающихся             с ограниченными возможностями здоровья;3;1;2;;;;;;;3;;
8;на обучение по программам среднего профессионального образования –       программам подготовки квалифицированных рабочих, служащих;265;;38;227;;;;;10;224;33;8
9;на обучение по программам среднего профессионального образования –       программы подготовки специалистов среднего звена;198;;;198;;;;;;198;;
10;в связи с переходом на семейное образование и самообразование;272;47;195;30;;;;;;272;;
11;по болезни;2;;1;1;;;;;;2;;
12;отчислено лиц, не прошедших итоговой аттестации, получивших на       итоговой аттестации неудовлетворительные результаты или освоивших       часть образовательной программы со справкой об обучении       или о периоде обучения;224;;138;86;;;;;20;193;2;29
13;выбыло по другим причинам;479;7;248;172;;;1;51;373;91;157;231
