;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
№ строки;Наименование показателей;Всего, человек;Из них (из графы 3) имеют образование: Высшее;Из них (из графы 3) имеют образование: из них (графы 4) педагогическое;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень доктора наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень кандидата наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание профессора;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание доцента;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки специалистов среднего звена;Из них (из графы 3) имеют образование: из них  (графы 10) педагогическое;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки квалифициро-ванных рабочих служащих;Из графы 3 имеют квалификационные категории высшую;Из графы 3 имеют квалификационные категории первую;Из графы 3 имеют квалификационные категории педагог-методист;Из графы 3 имеют квалификационные категории педагог-наставник;Из графы 3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 06, 43, 44);29183;19217;17494;2;88;1;7;4787;1934;2544;7612;4791;1;2;24649;
2;в том числе:       руководящие работники – всего;1501;1467;1318;1;25;1;1;30;8;2;447;163;;;1225;
3;из них:             директор;657;649;616;1;10;1;;5;4;;216;103;;;488;
4;заместители директора;822;795;668;;9;;1;24;3;2;218;51;;;720;
5;руководитель филиала;14;14;12;;;;;;;;1;2;;;9;
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);18585;16492;15910;1;62;;6;2041;1840;27;7152;4623;1;2;16740;18922.3
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);15126;13794;13453;1;54;;5;1306;1228;12;6533;3985;1;1;13510;15498
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;4400;3718;3647;;6;;;675;668;3;1860;1238;1;;4380;4530.6
9;русского языка и литературы;1923;1871;1854;;6;;;48;44;;912;497;;;1887;
10;языка народов России и литературы;;;;;;;;;;;;;;;;
11;истории, экономики, права, обществознания;1025;995;986;;12;;1;29;26;;482;267;;;844;
12;информатики;467;445;422;;4;;1;22;17;;224;94;;;337;
