;;;;
;;;;
;;;;
;;;;
;;;;
1;2;3;4;5
№ строки;Наименование показателей;Всего, человек;Из гр.3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 03, 40,41);1356;782;926.1
2;в том числе:       руководящие работники – всего;2;2;1.5
3;педагогические работники - всего (сумма строк 04, 27, 28, 32-39);740;504;484.6
4;в том числе:          учителя–всего (сумма строк 05-15, 20-26);472;323;318.4
5;в том числе:                учителя, осуществляющие деятельность по реализации                программ начального общего образования;22;22;16.6
6;русского языка и литературы;26;25;18.6
7;языка народов России и литературы;;;
8;истории, экономики, права, обществознания;42;21;25.6
9;информатики;32;22;20.7
10;физики;42;27;32.5
11;математики;30;24;16.4
12;химии;32;28;19.2
13;географии;14;13;10.4
14;биологии;20;19;11.4
15;иностранных языков;45;40;31.4
16;из них:                      английского языка;26;20;20.1
17;немецкого языка;7;5;3.6
18;французского языка;3;3;2.1
19;китайского языка;;;
20;физической культуры;66;15;46.8
21;труда (технологии);21;12;17.8
22;музыки и пения;33;26;26.3
23;изобразительного искусства, черчения;10;9;6.9
24;основ безопасности и защиты Родины;13;1;5.3
25;основ духовно-нравственной культуры народов России;2;2;0.4
26;прочих предметов;22;17;12.1
27;учителя-логопеды;21;20;13.6
28;учителя-дефектологи;16;16;6.5
29;из них:                олигофренопедагог;;;
30;тифлопедагог;;;
31;сурдопедагог;;;
32;социальные педагоги;3;3;3
33;педагоги дополнительного образования;150;85;92.7
34;педагоги-психологи;28;25;17.4
35;воспитатели;5;4;3.4
36;мастера производственного обучения;4;2;2
37;тьюторы;8;4;6
38;советники директора по воспитанию и взаимодействию          с детскими общественными объединениям;6;6;4.5
39;другие;27;16;17.1
40;учебно-вспомогательный персонал;120;63;85.9
41;иной персонал;494;213;355.1
42;из них:             ассистент(помощник);;;
43;сурдопереводчик;;;
44;тифлосурдопереводчик;;;
45;Из общей численности педагогических работников (стр.03):    персонал, работающий в подразделениях (группах)    дошкольного образования;1;1;0.3
46;из них воспитатели;;;
47;персонал , работающий в классах очно-заочного и заочного       обучения, учебно-консультационных пунктах;23;13;15.3
48;из них учителя;22;12;14.3
49;Из общей численности учителей (из строки 04 графы 3) - работники организаций - всего;13;;
50;Из общей численности мастеров производственного обучения (из строки 36 графы 3) - работники организаций – всего;;;
51;Из общей численности учителей-дефектологов (стр.28 гр.3) - учителя, имеющие специальное дефектологическое образование;1;;
52;Справочно. Код по ОКЕИ: человек – 792  Кроме того (кроме строки 01), численность медицинских работников (сумма строк 54-55);53;;
53;из них женщин;48;;
54;в том числе:          врачи всех специальностей;27;;
55;медицинские сестры;26;;
56;.Из строки 04 графы 3 – численность учителей, использующих в учебном процессе персональные компьютеры;380;;
