;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
№ строки;Наименование показателей;Всего (сумма граф 4, 6, 8, 10, 12, 14, 16,  18, 20, 22);Число полных лет  по состоянию на 1 января 20_ года моложе 25 лет всего;Число полных лет  по состоянию на 1 января 20_ года моложе 25 лет из них женщины;Число полных лет  по состоянию на 1 января 20_ года 25–29 всего;Число полных лет  по состоянию на 1 января 20_ года 25–29 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 30–34 всего;Число полных лет  по состоянию на 1 января 20_ года 30–34 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 35–39 всего;Число полных лет  по состоянию на 1 января 20_ года 35–39 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 40–44 всего;Число полных лет  по состоянию на 1 января 20_ года 40–44 из них женщины;45–49 всего;45–49 из них женщины;50–54 всего;50–54 из них женщины;55–59 всего;55–59 из них женщины;60–64 всего;60–64 из них женщины;65 и более всего;65 и более из них женщины
1;Численность работников – всего (сумма строк 02, 06, 43,44);29183;1418;1261;1306;1109;1943;1664;2672;2312;3100;2767;3890;3396;5008;4324;4289;3628;3226;2479;2331;1709
2;в том числе:       руководящие работники – всего;1501;1;1;11;6;53;39;127;96;164;139;260;213;337;284;280;239;163;130;105;78
3;из них:             директор;657;;;3;1;16;11;45;26;61;51;101;71;153;120;138;110;76;53;64;45
4;заместители директора;822;1;1;8;5;37;28;79;67;100;86;152;136;181;161;139;128;84;75;41;33
5;руководитель филиала;14;;;;;;;2;2;1;;5;4;2;2;3;1;1;;;
6;педагогические работники - всего (сумма строк 07, 30, 31, 35-42);18585;1336;1210;1132;973;1450;1258;1703;1515;1937;1777;2340;2123;3131;2902;2606;2388;1750;1560;1200;1034
7;в том числе:             учителя–всего (сумма строк 08-18, 23-29);15126;1042;933;898;749;1121;952;1256;1092;1451;1310;1911;1721;2678;2474;2287;2088;1502;1343;980;848
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;4400;347;342;219;219;277;275;322;318;463;462;549;545;952;950;736;735;340;339;195;195
9;русского языка и литературы;1923;119;116;84;80;109;104;140;133;139;137;253;250;387;381;316;313;216;215;160;158
10;языка народов России и литературы;;;;;;;;;;;;;;;;;;;;;
11;истории, экономики, права, обществознания;1025;68;51;94;71;87;59;69;49;88;78;142;119;171;151;140;128;105;89;61;49
12;информатики;467;28;21;41;30;55;37;69;48;58;46;72;57;72;56;37;17;20;13;15;12
13;физики;521;25;22;27;20;28;20;36;31;47;39;60;45;79;64;97;83;62;50;60;37
14;математики;1515;94;88;70;62;100;89;115;106;149;137;167;157;268;253;249;243;199;191;104;100
15;химии;388;33;31;22;20;23;21;18;18;28;27;39;35;57;57;78;73;63;62;27;27
16;географии;511;21;19;32;24;39;31;34;26;31;27;66;59;108;100;88;76;53;47;39;34
17;биологии;531;24;24;33;27;30;27;36;32;51;50;82;80;110;106;74;69;49;45;42;40
