;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
№ строки;Наименование показателей;Всего, человек;Из них (из графы 3) имеют образование: Высшее;Из них (из графы 3) имеют образование: из них (графы 4) педагогическое;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень доктора наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень кандидата наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание профессора;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание доцента;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки специалистов среднего звена;Из них (из графы 3) имеют образование: из них  (графы 10) педагогическое;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки квалифициро-ванных рабочих служащих;Из графы 3 имеют квалификационные категории высшую;Из графы 3 имеют квалификационные категории первую;Из графы 3 имеют квалификационные категории педагог-методист;Из графы 3 имеют квалификационные категории педагог-наставник;Из графы 3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 06, 43, 44);2679;1323;1209;;8;;6;624;262;228;313;353;;;2310;
2;в том числе:       руководящие работники – всего;224;200;179;;4;;3;19;7;1;35;39;;;204;
3;из них:             директор;62;61;56;;2;;2;1;1;;11;9;;;53;
4;заместители директора;153;131;112;;2;;1;14;4;1;21;27;;;142;
5;руководитель филиала;8;6;6;;;;;1;1;;2;2;;;8;
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);1324;1042;1009;;4;;3;263;228;2;278;313;;;1216;694.5
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);1091;893;871;;4;;3;183;168;2;262;283;;;998;553
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;360;249;248;;;;;110;110;;78;101;;;359;211.3
9;русского языка и литературы;115;108;106;;1;;1;5;4;;35;31;;;115;
10;языка народов России и литературы;;;;;;;;;;;;;;;;
11;истории, экономики, права, обществознания;72;68;67;;1;;1;3;2;;24;15;;;65;
12;информатики;25;24;21;;;;;1;;;4;9;;;20;
13;физики;32;32;30;;1;;1;;;;9;8;;;27;
14;математики;88;83;82;;;;;3;3;;23;25;;;83;
15;химии;24;24;22;;;;;;;;9;4;;;22;
16;географии;34;32;32;;;;;1;1;;8;10;;;33;
17;биологии;28;28;28;;1;;;;;;10;6;;;28;
18;иностранных языков;96;91;89;;;;;5;5;;16;30;;;90;
19;из них:                         английского языка;93;88;86;;;;;5;5;;16;29;;;87;
20;немецкого языка;3;3;3;;;;;;;;;1;;;3;
21;французского языка;;;;;;;;;;;;;;;;
22;китайского языка;;;;;;;;;;;;;;;;
