;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателей;Всего (сумма граф 4 - 9);Из графы 3 – имеют общий стаж работы, лет до 3;Из графы 3 – имеют общий стаж работы, лет от 3 до 5;Из графы 3 – имеют общий стаж работы, лет от 5 до 10;Из графы 3 – имеют общий стаж работы, лет от 10 до 15;Из графы 3 – имеют общий стаж работы, лет от 15 до 20;Из графы 3 – имеют общий стаж работы, лет 20 и более;Из гр. 3  имеют стаж педагоги- ческой работы- всего (сумма граф 11-16);Из графы 10 – имеют педагогический стаж работы, лет до 3;Из графы 10 – имеют педагогический стаж работы, лет от 3 до 5;Из графы 10 – имеют педагогический стаж работы, лет от 5 до 10;Из графы 10 – имеют педагогический стаж работы, лет от 10 до 15;Из графы 10 – имеют педагогический стаж работы, лет от 15 до 20;Из графы 10 – имеют педагогический стаж работы, лет 20 и более;Не имеют стажа педа- гогической работы
1;Численность работников – всего (сумма строк 02, 06, 43, 44);2679;105;94;238;277;384;1581;1520;110;71;148;188;162;841;1159
2;в том числе:       руководящие работники – всего;224;3;3;7;15;35;161;193;3;5;8;21;33;123;31
3;из них:             директор;62;;;2;5;7;48;61;1;1;3;7;8;41;1
4;заместители директора;153;3;2;4;10;26;108;124;1;3;4;14;25;77;29
5;руководитель филиала;8;;1;1;;1;5;8;1;1;1;;;5;
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);1324;70;49;121;154;145;785;1306;105;65;136;163;129;708;18
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);1091;61;33;93;125;119;660;1086;85;43;111;128;112;607;5
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;360;25;17;26;42;28;222;360;30;19;32;37;32;210;
9;русского языка и литературы;115;5;;8;8;9;85;114;7;2;7;10;7;81;1
10;языка народов России и литературы;;;;;;;;;;;;;;;
11;истории, экономики, права, обществознания;72;5;1;9;12;8;37;71;5;4;9;11;9;33;1
12;информатики;25;;1;3;4;3;14;25;1;2;3;3;2;14;
13;физики;32;2;1;3;2;3;21;32;4;;2;2;3;21;
14;математики;88;3;1;3;9;16;56;87;3;2;7;10;10;55;1
15;химии;24;;;2;1;1;20;24;1;;4;;2;17;
16;географии;34;;;2;3;5;24;34;;1;2;4;6;21;
17;биологии;28;;;6;1;1;20;28;;;6;1;1;20;
18;иностранных языков;96;6;2;11;17;20;40;95;6;2;15;19;17;36;1
19;из них:                         английского языка;93;6;2;11;17;20;37;92;6;2;15;19;17;33;1
20;немецкого языка;3;;;;;;3;3;;;;;;3;
21;французского языка;;;;;;;;;;;;;;;
22;китайского языка;;;;;;;;;;;;;;;
23;физической культуры;67;5;2;6;7;12;35;67;8;2;7;12;9;29;
24;труда (технологии);54;1;1;4;6;5;37;54;3;4;7;6;4;30;
25;музыки и пения;16;1;1;4;1;2;7;15;1;1;3;1;2;7;1
26;изобразительного искусства, черчения;19;;2;1;5;1;10;19;2;2;;4;2;9;
27;основ безопасности и защиты Родины;19;1;;1;1;3;13;19;2;;1;3;3;10;
28;основ духовно-нравственной культуры народов России;;;;;;;;;;;;;;;
29;прочих предметов;42;7;4;4;6;2;19;42;12;2;6;5;3;14;
30;учителя-логопеды;22;1;3;4;1;1;12;21;2;3;4;1;;11;1
31;учителя-дефектологи;18;1;;3;2;1;11;18;2;2;2;1;;11;
32;из них:                   олигофренопедагог;7;;;;1;1;5;7;1;;;1;;5;
33;тифлопедагог;;;;;;;;;;;;;;;
34;сурдопедагог;;;;;;;;;;;;;;;
35;социальные педагоги;14;;2;1;;3;8;11;2;1;;2;;6;3
36;педагоги дополнительного образования;26;3;;3;1;3;16;23;1;3;4;3;;12;3
37;педагоги-психологи;23;;6;1;7;3;6;23;3;6;2;6;2;4;
38;воспитатели;96;1;2;13;13;10;57;92;7;3;7;16;12;47;4
39;мастера производственного обучения;;;;;;;;;;;;;;;
40;тьюторы;2;;1;;;;1;2;;1;1;;;;
41;советники директора по воспитанию и взаимодействию             с детскими общественными объединениям;16;1;1;2;3;4;5;15;1;1;4;4;3;2;1
42;другие;16;2;1;1;2;1;9;15;2;2;1;2;;8;1
43;учебно-вспомогательный персонал;132;6;6;7;16;22;75;15;1;;2;4;;8;117
44;иной персонал;999;26;36;103;92;182;560;6;1;1;2;;;2;993
45;из них:             ассистент (помощник);1;;;;;;1;;;;;;;;1
46;сурдопереводчик;;;;;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;;;;;
48;Из общей численности педагогических работников (строка 06):             персонал, работающий в подразделениях (группах)             дошкольного образования;64;1;3;14;9;8;29;62;5;5;7;15;6;24;2
49;из них воспитатели;56;1;1;12;8;8;26;55;5;3;6;14;6;21;1
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;2;;;;;;2;2;;;;;;2;
51;из них учителя;2;;;;;;2;2;;;;;;2;
;;;;;;;;;;;;;;;;
;;Данные графы 3 по строкам 01–51 равны данным графы 3 подраздела 3.1 по соответствующим строкам 01-51.;;;;;;;;;;;;;;
