;;;;
;;;;
;;;;
;;;;
;;;;
1;2;3;4;5
№ строки;Наименование показателей;Всего, человек;Из гр.3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 03, 40,41);181;102;74.4
2;в том числе:       руководящие работники – всего;2;2;0.5
3;педагогические работники - всего (сумма строк 04, 27, 28, 32-39);101;67;34.6
4;в том числе:          учителя–всего (сумма строк 05-15, 20-26);73;53;25.8
5;в том числе:                учителя, осуществляющие деятельность по реализации                программ начального общего образования;5;5;2.3
6;русского языка и литературы;7;7;3.2
7;языка народов России и литературы;;;
8;истории, экономики, права, обществознания;2;1;1.5
9;информатики;4;;3
10;физики;1;1;0.9
11;математики;2;2;1.5
12;химии;5;2;2.2
13;географии;2;2;1.4
14;биологии;1;1;
15;иностранных языков;12;10;3.8
16;из них:                      английского языка;10;8;1.5
17;немецкого языка;1;1;
18;французского языка;;;
19;китайского языка;;;
20;физической культуры;10;3;6.1
21;труда (технологии);3;3;1.7
22;музыки и пения;3;3;1.3
23;изобразительного искусства, черчения;2;1;
24;основ безопасности и защиты Родины;2;;0.7
25;основ духовно-нравственной культуры народов России;;;
26;прочих предметов;12;12;2.5
27;учителя-логопеды;1;1;
28;учителя-дефектологи;;;
29;из них:                олигофренопедагог;;;
30;тифлопедагог;;;
31;сурдопедагог;;;
32;социальные педагоги;1;1;0.5
33;педагоги дополнительного образования;19;8;7.6
34;педагоги-психологи;3;2;1.5
35;воспитатели;2;2;1.6
36;мастера производственного обучения;;;
37;тьюторы;;;
38;советники директора по воспитанию и взаимодействию          с детскими общественными объединениям;;;
39;другие;2;;1
40;учебно-вспомогательный персонал;8;5;6.2
41;иной персонал;70;28;29.8
42;из них:             ассистент(помощник);;;
43;сурдопереводчик;;;
44;тифлосурдопереводчик;;;
45;Из общей численности педагогических работников (стр.03):    персонал, работающий в подразделениях (группах)    дошкольного образования;1;1;
46;из них воспитатели;;;
47;персонал , работающий в классах очно-заочного и заочного       обучения, учебно-консультационных пунктах;;;
48;из них учителя;;;
49;Из общей численности учителей (из строки 04 графы 3) - работники организаций - всего;5;;
50;Из общей численности мастеров производственного обучения (из строки 36 графы 3) - работники организаций – всего;;;
51;Из общей численности учителей-дефектологов (стр.28 гр.3) - учителя, имеющие специальное дефектологическое образование;;;
52;Справочно. Код по ОКЕИ: человек – 792  Кроме того (кроме строки 01), численность медицинских работников (сумма строк 54-55);;;
53;из них женщин;;;
54;в том числе:          врачи всех специальностей;;;
55;медицинские сестры;;;
56;.Из строки 04 графы 3 – численность учителей, использующих в учебном процессе персональные компьютеры;53;;
