;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
№ строки;Наименование показателей;Всего (сумма граф 4, 6, 8, 10, 12, 14, 16,  18, 20, 22);Число полных лет  по состоянию на 1 января 20_ года моложе 25 лет всего;Число полных лет  по состоянию на 1 января 20_ года моложе 25 лет из них женщины;Число полных лет  по состоянию на 1 января 20_ года 25–29 всего;Число полных лет  по состоянию на 1 января 20_ года 25–29 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 30–34 всего;Число полных лет  по состоянию на 1 января 20_ года 30–34 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 35–39 всего;Число полных лет  по состоянию на 1 января 20_ года 35–39 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 40–44 всего;Число полных лет  по состоянию на 1 января 20_ года 40–44 из них женщины;45–49 всего;45–49 из них женщины;50–54 всего;50–54 из них женщины;55–59 всего;55–59 из них женщины;60–64 всего;60–64 из них женщины;65 и более всего;65 и более из них женщины
1;Численность работников – всего (сумма строк 02, 06, 43,44);2679;78;69;103;90;162;149;274;245;319;277;387;346;434;383;345;295;284;211;293;245
2;в том числе:       руководящие работники – всего;224;;;5;4;7;6;25;17;20;17;47;44;44;42;35;35;24;22;17;17
3;из них:             директор;62;;;1;;2;1;6;3;7;5;12;10;12;12;10;10;8;8;4;4
4;заместители директора;153;;;2;2;5;5;18;13;12;11;34;33;30;28;25;25;14;12;13;13
5;руководитель филиала;8;;;2;2;;;1;1;1;1;;;2;2;;;2;2;;
6;педагогические работники - всего (сумма строк 07, 30, 31, 35-42);1324;64;59;72;65;99;90;152;140;150;132;166;153;215;201;145;135;122;113;139;128
7;в том числе:             учителя–всего (сумма строк 08-18, 23-29);1091;57;52;56;49;85;76;119;107;122;105;130;120;172;162;121;113;103;97;126;117
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;360;27;27;22;22;27;26;30;30;29;29;38;38;84;84;48;48;27;27;28;28
9;русского языка и литературы;115;4;4;2;2;7;7;12;12;8;8;16;16;19;19;11;11;14;14;22;22
10;языка народов России и литературы;;;;;;;;;;;;;;;;;;;;;
11;истории, экономики, права, обществознания;72;5;4;3;3;7;6;10;8;13;10;14;14;6;6;4;4;6;6;4;4
12;информатики;25;;;2;1;3;3;3;2;5;4;4;3;2;2;4;4;;;2;1
13;физики;32;2;1;3;2;1;1;3;3;2;2;1;1;6;5;3;2;4;4;7;6
14;математики;88;3;3;1;1;3;2;11;11;13;10;9;8;12;12;8;8;14;14;14;14
15;химии;24;;;1;1;;;2;1;1;1;2;2;2;2;2;2;4;4;10;9
16;географии;34;;;;;3;3;3;3;6;5;7;7;3;3;3;3;1;1;8;8
17;биологии;28;;;3;3;2;2;2;2;2;2;;;3;3;5;5;6;6;5;5
18;иностранных языков;96;5;5;3;3;15;12;19;18;16;16;7;6;9;9;9;8;7;7;6;6
19;из них:                         английского языка;93;5;5;3;3;15;12;19;18;16;16;7;6;9;9;9;8;6;6;4;4
20;немецкого языка;3;;;;;;;;;;;;;;;;;1;1;2;2
21;французского языка;;;;;;;;;;;;;;;;;;;;;
22;китайского языка;;;;;;;;;;;;;;;;;;;;;
23;физической культуры;67;4;1;6;2;7;6;7;6;10;3;12;7;7;2;4;3;5;3;5;2
24;труда (технологии);54;1;1;;;3;3;6;2;7;5;9;8;6;5;6;3;11;8;5;3
25;музыки и пения;16;1;1;4;3;1;1;;;2;2;2;2;2;2;3;3;1;1;;
26;изобразительного искусства, черчения;19;;;2;2;1;1;3;3;5;5;2;2;2;2;2;2;;;2;2
27;основ безопасности и защиты Родины;19;1;1;;;2;;2;;1;1;1;;4;1;4;2;2;1;2;1
28;основ духовно-нравственной культуры народов России;;;;;;;;;;;;;;;;;;;;;
29;прочих предметов;42;4;4;4;4;3;3;6;6;2;2;6;6;5;5;5;5;1;1;6;6
30;учителя-логопеды;22;1;1;1;1;3;3;3;3;3;3;3;2;7;7;1;1;;;;
31;учителя-дефектологи;18;;;2;2;3;3;1;1;2;2;2;2;4;4;1;1;;;3;3
32;из них:                      олигофренопедагог;7;;;;;;;1;1;1;1;2;2;3;3;;;;;;
33;тифлопедагог;;;;;;;;;;;;;;;;;;;;;
34;сурдопедагог;;;;;;;;;;;;;;;;;;;;;
35;социальные педагоги;14;;;;;2;2;;;3;3;5;5;2;2;1;1;1;1;;
