;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
№ строки;Наименование показателей;Всего, человек;Из них (из графы 3) имеют образование: Высшее;Из них (из графы 3) имеют образование: из них (графы 4) педагогическое;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень доктора наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень кандидата наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание профессора;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание доцента;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки специалистов среднего звена;Из них (из графы 3) имеют образование: из них  (графы 10) педагогическое;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки квалифициро-ванных рабочих служащих;Из графы 3 имеют квалификационные категории высшую;Из графы 3 имеют квалификационные категории первую;Из графы 3 имеют квалификационные категории педагог-методист;Из графы 3 имеют квалификационные категории педагог-наставник;Из графы 3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 06, 43, 44);20582;9843;8981;;25;;;4755;2594;1545;1487;1504;5;31;17051;
2;в том числе:       руководящие работники – всего;1243;1074;975;;6;;;125;69;14;187;144;1;7;1088;
3;из них:             директор;510;474;435;;4;;;31;27;;74;58;1;1;428;
4;заместители директора;722;585;509;;2;;;81;31;13;104;79;;6;644;
5;руководитель филиала;6;4;3;;;;;2;2;;;;;;6;
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);11347;8348;7902;;19;;;2685;2408;48;1296;1357;4;24;10287;10559.5
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);9639;7352;7049;;18;;;2099;1945;33;1240;1254;4;23;8726;8804.4
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;2918;1848;1785;;;;;1019;998;8;260;393;;9;2907;2735.3
9;русского языка и литературы;1182;1036;1022;;4;;;132;128;1;221;182;;4;1175;
10;языка народов России и литературы;35;33;33;;;;;2;2;;15;5;;;35;
11;истории, экономики, права, обществознания;631;578;552;;2;;;47;44;1;114;107;;2;547;
12;информатики;267;199;180;;1;;;57;42;2;24;35;;2;205;
13;физики;295;263;250;;;;;28;23;1;52;33;1;;241;
14;математики;910;825;794;;1;;;73;68;1;116;111;3;2;866;
15;химии;232;221;215;;1;;;9;8;2;41;27;;;224;
16;географии;306;278;271;;4;;;26;21;;64;38;;;283;
17;биологии;273;240;234;;1;;;29;22;;59;30;;2;267;
18;иностранных языков;902;776;759;;4;;;112;105;4;102;121;;;871;
19;из них:                         английского языка;833;706;690;;4;;;101;96;4;90;98;;;802;
20;немецкого языка;26;22;22;;;;;4;3;;4;3;;;26;
21;французского языка;6;6;6;;;;;;;;2;2;;;6;
22;китайского языка;29;26;26;;;;;1;;;5;5;;;26;
23;физической культуры;693;438;411;;;;;230;207;3;67;81;;;358;
24;труда (технологии);439;265;234;;;;;153;123;5;48;50;;1;300;
25;музыки и пения;156;88;77;;;;;63;53;1;21;9;;;144;
26;изобразительного искусства, черчения;138;81;71;;;;;52;42;2;21;7;;;133;
27;основ безопасности и защиты Родины;147;108;91;;;;;31;27;;10;12;;1;62;
28;основ духовно-нравственной культуры народов России;12;11;11;;;;;1;1;;1;1;;;12;
29;прочих предметов;103;64;59;;;;;35;31;2;4;12;;;96;
30;учителя-логопеды;78;68;67;;;;;8;8;;8;9;;;78;76.5
31;учителя-дефектологи;61;57;55;;;;;4;3;;3;5;;;61;46.5
32;из них:                   олигофренопедагог;5;5;5;;;;;;;;;;;;5;5
33;тифлопедагог;1;1;1;;;;;;;;;;;;1;
34;сурдопедагог;3;3;3;;;;;;;;2;;;;3;3
35;социальные педагоги;202;143;121;;;;;54;42;1;6;13;;;198;168.9
36;педагоги дополнительного образования;157;92;74;;;;;53;38;1;12;7;;;122;110.8
37;педагоги-психологи;210;182;166;;1;;;23;18;1;8;27;;;206;163.1
38;воспитатели;443;141;130;;;;;245;216;7;3;18;;;415;314.3
39;мастера производственного обучения;22;7;4;;;;;14;5;1;1;1;;;;12
40;тьюторы;73;53;41;;;;;17;12;1;;4;;;66;64.2
41;советники директора по воспитанию и взаимодействию             с детскими общественными объединениям;66;51;43;;;;;14;8;;1;6;;1;63;47.2
42;другие;396;202;152;;;;;154;113;3;14;13;;;352;298.9
43;учебно-вспомогательный персонал;569;116;57;;;;;212;63;89;4;2;;;520;
44;иной персонал;7423;305;47;;;;;1733;54;1394;;1;;;5156;
45;из них:             ассистент (помощник);3;1;1;;;;;1;;;;;;;3;
46;сурдопереводчик;;;;;;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;;;;;;
48;Из общей численности педагогических работников (строка 06):             персонал, работающий в подразделениях (группах)             дошкольного образования;286;68;57;;;;;181;158;4;;3;;;283;
49;из них воспитатели;263;62;53;;;;;164;146;4;;3;;;260;
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;34;32;32;;;;;2;2;;;;;;30;
51;из них учителя;34;32;32;;;;;2;2;;;;;;30;
52;персонал, работающий в отдельных классах для             обучающихся с ограниченными возможностями здоровья;91;74;74;;;;;17;17;;4;;;;78;
53;из них учителя - всего;70;58;58;;;;;11;11;;4;;;;60;
54;из них учителя, осуществляющие деятельность по                    реализации программ начального общего образования;12;8;8;;;;;4;4;;;;;;12;
55;персонал, получающий надбавки за работу с лицами с             ограниченными возможностями здоровья, находящимися             на совместном обучении;730;478;448;;;;;96;88;1;61;78;;;516;
56;Из общей численности учителей-дефектологов (строка 31 графа 3) - учителя, имеющие специальное дефектологическое образование;15;11;;;;;;;;;;;;;;
