;;;;
;;;;
;;;;
;;;;
;;;;
1;2;3;4;5
№ строки;Наименование показателей;Всего, человек;Из гр.3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 03, 40,41);1214;904;666.3
2;в том числе:       руководящие работники – всего;25;23;11.8
3;педагогические работники - всего (сумма строк 04, 27, 28, 32-39);886;726;461.8
4;в том числе:          учителя–всего (сумма строк 05-15, 20-26);679;571;364.1
5;в том числе:                учителя, осуществляющие деятельность по реализации                программ начального общего образования;71;70;27.7
6;русского языка и литературы;50;48;26.9
7;языка народов России и литературы;1;1;0.2
8;истории, экономики, права, обществознания;41;33;24.7
9;информатики;40;25;20.9
10;физики;35;28;22.1
11;математики;59;56;44.8
12;химии;45;43;23.5
13;географии;23;20;12.8
14;биологии;25;24;14.4
15;иностранных языков;103;96;70.4
16;из них:                      английского языка;90;83;60.1
17;немецкого языка;5;5;2.1
18;французского языка;1;1;0.1
19;китайского языка;1;1;0.1
20;физической культуры;43;19;32.6
21;труда (технологии);34;20;17.8
22;музыки и пения;50;45;25.9
23;изобразительного искусства, черчения;15;13;6.1
24;основ безопасности и защиты Родины;15;3;8
25;основ духовно-нравственной культуры народов России;2;2;1.3
26;прочих предметов;27;25;8.5
27;учителя-логопеды;8;8;4.8
28;учителя-дефектологи;1;;1
29;из них:                олигофренопедагог;;;
30;тифлопедагог;;;
31;сурдопедагог;;;
32;социальные педагоги;2;2;1
33;педагоги дополнительного образования;142;101;57.8
34;педагоги-психологи;9;9;4
35;воспитатели;7;7;4
36;мастера производственного обучения;5;1;3.5
37;тьюторы;8;7;2.8
38;советники директора по воспитанию и взаимодействию          с детскими общественными объединениям;1;1;1
39;другие;24;19;8.9
40;учебно-вспомогательный персонал;29;18;73
41;иной персонал;274;137;159.4
42;из них:             ассистент(помощник);;;
43;сурдопереводчик;;;
44;тифлосурдопереводчик;;;
45;Из общей численности педагогических работников (стр.03):    персонал, работающий в подразделениях (группах)    дошкольного образования;5;4;2.6
46;из них воспитатели;3;3;2
47;персонал , работающий в классах очно-заочного и заочного       обучения, учебно-консультационных пунктах;24;24;1
48;из них учителя;24;24;1
49;Из общей численности учителей (из строки 04 графы 3) - работники организаций - всего;34;;
50;Из общей численности мастеров производственного обучения (из строки 36 графы 3) - работники организаций – всего;;;
51;Из общей численности учителей-дефектологов (стр.28 гр.3) - учителя, имеющие специальное дефектологическое образование;;;
52;Справочно. Код по ОКЕИ: человек – 792  Кроме того (кроме строки 01), численность медицинских работников (сумма строк 54-55);22;;
53;из них женщин;18;;
54;в том числе:          врачи всех специальностей;4;;
55;медицинские сестры;18;;
56;.Из строки 04 графы 3 – численность учителей, использующих в учебном процессе персональные компьютеры;370;;
