;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателя;Всего  (сумма граф 4 - 17);1-й класс;1-й класс первого года обучения;1-й класс второго года обучения;2-й класс;3-й класс;4-й класс;5-й класс;6-й класс;7-й класс;8-й класс;9-й класс;10-й класс;11-й класс;12-й класс
1;Число классов с нормативным сроком освоения программ 9 лет, ед.;141;10;;;14;13;14;19;21;18;17;15;;;
2;В них обучающихся, чел.;1594;101;;;134;166;166;180;216;210;200;221;;;
3;Число классов с нормативным сроком освоения программ 10 лет, ед.;14;;;1;1;1;1;2;3;;2;2;1;;
4;В них обучающихся, чел.;77;;;7;2;4;3;13;17;;10;12;9;;
5;Число классов с нормативным сроком освоения программ 11 лет, ед.;26;2;1;2;1;2;2;2;2;;2;2;5;3;
6;В них обучающихся, чел.;225;9;4;14;5;15;13;15;23;;23;19;56;29;
7;Число классов с нормативным сроком освоения программ 12 лет, ед.;34;1;;;2;2;3;4;5;5;4;4;2;1;1
8;В них обучающихся, чел.;238;7;;;8;10;23;23;39;35;37;33;13;5;5
9;Число классов с нормативным сроком освоения программ 13 лет, ед.;23;;2;3;3;4;3;4;;;2;1;1;;
10;В них обучающихся, чел.;162;;11;15;26;30;22;32;;;14;8;4;;
11;Итого классов для обучающихся с умственной отсталостью (интеллектуальными нарушениями), ед. (сумма строк 01, 03, 05, 07, 09);238;13;3;6;21;22;23;31;31;23;27;24;9;4;1
12;"В них обучающихся, чел. (сумма строк 02, 04, 06, 08, 10;    сумма строк 13-15)";2296;117;15;36;175;225;227;263;295;245;284;293;82;34;5
13;в том числе обучаются:          очно;2265;115;15;36;173;221;224;260;293;243;282;289;77;32;5
14;очно-заочно;31;2;;;2;4;3;3;2;2;2;4;5;2;
15;заочно;;;;;;;;;;;;;;;
16;из них (из строки 12):       воспитанники (без приходящих учащихся);466;13;;2;28;45;52;65;61;54;61;71;12;2;
17;девочки;822;37;3;11;48;84;83;98;101;85;103;117;39;12;1
18;лица с ограниченными возможностями здоровья;2296;117;15;36;175;225;227;263;295;245;284;293;82;34;5
19;из них (из строки 18):             инвалиды;23;;;;1;1;;2;1;1;2;13;1;1;
20;дети-инвалиды;918;56;12;29;83;102;90;102;111;82;110;87;37;14;3
21;инвалиды (кроме учтенных в строке 19);;;;;;;;;;;;;;;
22;дети-инвалиды (кроме учтенных в строке 20);;;;;;;;;;;;;;;
23;дети-сироты и дети, оставшиеся без попечения родителей;218;9;;;6;8;17;20;28;24;33;62;9;2;
24;из них воспитанники (без приходящих учащихся);55;2;;;3;;3;8;5;8;9;17;;;
25;обучающиеся иностранные граждане;4;;;1;;;1;;2;;;;;;
26;из них девочки;;;;;;;;;;;;;;;
27;обучающиеся лица без гражданства;;;;;;;;;;;;;;;
