;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);12;21;244;379
2;в том числе       инженерные;1;2;33;51
3;медицинские;3;1;72;21
4;космические;;;;
5;педагогические;2;13;17;225
6;аграрные;2;3;38;51
7;предпринимательские;;;;
8;кадетские;4;;84;
9;IT-классы;;;;
10;другие;;2;;31
