;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
№ строки;Наименование показателей;Всего, человек;Из них (из графы 3) имеют образование: Высшее;Из них (из графы 3) имеют образование: из них (графы 4) педагогическое;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень доктора наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень кандидата наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание профессора;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание доцента;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки специалистов среднего звена;Из них (из графы 3) имеют образование: из них  (графы 10) педагогическое;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки квалифициро-ванных рабочих служащих;Из графы 3 имеют квалификационные категории высшую;Из графы 3 имеют квалификационные категории первую;Из графы 3 имеют квалификационные категории педагог-методист;Из графы 3 имеют квалификационные категории педагог-наставник;Из графы 3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 06, 43, 44);9349;6217;5555;2;43;2;4;1788;683;739;2044;1759;9;11;7963;
2;в том числе:       руководящие работники – всего;862;813;666;2;14;1;2;38;8;5;208;107;1;2;761;
3;из них:             директор;245;240;231;1;5;1;1;;;;51;36;;;209;
4;заместители директора;592;540;419;1;9;;1;31;8;5;145;68;1;2;528;
5;руководитель филиала;2;2;1;;;;;;;;1;;;;2;
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);5836;5030;4793;;29;1;2;732;640;11;1835;1651;8;9;5288;5384.7
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);5184;4572;4393;;24;1;1;563;497;7;1695;1531;6;9;4670;4597.3
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;1630;1296;1282;;;;;328;313;;526;545;2;6;1621;1514
9;русского языка и литературы;630;609;603;;8;;;18;16;;252;181;1;1;614;
10;языка народов России и литературы;;;;;;;;;;;;;;;;
11;истории, экономики, права, обществознания;327;314;299;;5;1;;11;10;;119;83;1;;268;
12;информатики;107;93;80;;;;;11;8;1;28;32;;;75;
13;физики;170;168;164;;1;;;1;;;64;48;;;151;
14;математики;503;486;475;;1;;;8;6;;159;150;1;;483;
15;химии;129;129;117;;4;;;;;;48;35;1;;123;
16;географии;145;139;136;;2;;1;3;1;1;57;37;;1;126;
17;биологии;162;161;156;;;;;1;1;;66;41;;;152;
18;иностранных языков;547;527;507;;3;;;17;14;;123;158;;;518;
19;из них:                         английского языка;478;454;431;;3;;;15;13;;100;134;;;449;
20;немецкого языка;56;55;53;;;;;1;1;;16;11;;;55;
21;французского языка;13;13;13;;;;;;;;6;6;;;13;
22;китайского языка;;;;;;;;;;;;;;;;
23;физической культуры;339;273;267;;;;;62;55;3;109;97;;1;173;
24;труда (технологии);241;185;138;;;;;49;28;2;67;67;;;151;
