;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателей;Всего (сумма граф 4 - 9);Из графы 3 – имеют общий стаж работы, лет до 3;Из графы 3 – имеют общий стаж работы, лет от 3 до 5;Из графы 3 – имеют общий стаж работы, лет от 5 до 10;Из графы 3 – имеют общий стаж работы, лет от 10 до 15;Из графы 3 – имеют общий стаж работы, лет от 15 до 20;Из графы 3 – имеют общий стаж работы, лет 20 и более;Из гр. 3  имеют стаж педагоги- ческой работы- всего (сумма граф 11-16);Из графы 10 – имеют педагогический стаж работы, лет до 3;Из графы 10 – имеют педагогический стаж работы, лет от 3 до 5;Из графы 10 – имеют педагогический стаж работы, лет от 5 до 10;Из графы 10 – имеют педагогический стаж работы, лет от 10 до 15;Из графы 10 – имеют педагогический стаж работы, лет от 15 до 20;Из графы 10 – имеют педагогический стаж работы, лет 20 и более;Не имеют стажа педа- гогической работы
1;Численность работников – всего (сумма строк 02, 06, 43, 44);9349;507;291;561;722;793;6475;6555;579;340;619;601;467;3949;2794
2;в том числе:       руководящие работники – всего;862;1;10;36;49;88;678;696;12;21;42;53;63;505;166
3;из них:             директор;245;;2;3;10;12;218;245;2;8;8;16;11;200;
4;заместители директора;592;1;8;32;37;73;441;449;10;13;34;37;52;303;143
5;руководитель филиала;2;;;;;;2;1;;;;;;1;1
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);5836;462;245;433;518;492;3686;5735;557;306;564;532;399;3377;101
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);5184;404;217;376;442;422;3323;5118;476;260;479;456;354;3093;66
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;1630;131;69;122;97;123;1088;1613;145;69;146;97;117;1039;17
9;русского языка и литературы;630;34;23;32;44;47;450;628;45;28;41;52;37;425;2
10;языка народов России и литературы;;;;;;;;;;;;;;;
11;истории, экономики, права, обществознания;327;28;11;27;42;24;195;319;31;13;33;42;21;179;8
12;информатики;107;12;9;12;13;10;51;106;16;9;12;16;9;44;1
13;физики;170;7;4;10;7;4;138;169;9;4;9;8;6;133;1
14;математики;503;30;15;30;41;25;362;494;31;21;45;32;20;345;9
15;химии;129;10;5;8;9;7;90;125;10;5;8;8;5;89;4
16;географии;145;8;3;6;15;9;104;143;11;4;12;12;8;96;2
17;биологии;162;16;7;9;17;14;99;162;20;11;12;15;11;93;
18;иностранных языков;547;59;37;56;72;77;246;540;60;43;66;87;57;227;7
19;из них:                         английского языка;478;59;35;49;66;76;193;471;60;41;60;79;56;175;7
20;немецкого языка;56;;1;6;6;1;42;56;;1;6;7;1;41;
21;французского языка;13;;1;1;;;11;13;;1;;1;;11;
22;китайского языка;;;;;;;;;;;;;;;
23;физической культуры;339;35;23;36;39;34;172;333;49;25;37;39;25;158;6
24;труда (технологии);241;12;4;12;20;25;168;236;20;13;31;24;15;133;5
25;музыки и пения;82;8;5;3;7;6;53;80;7;6;7;6;6;48;2
26;изобразительного искусства, черчения;60;8;;8;5;6;33;59;10;3;10;3;4;29;1
27;основ безопасности и защиты Родины;37;3;1;2;6;1;24;37;6;3;2;7;3;16;
28;основ духовно-нравственной культуры народов России;;;;;;;;;;;;;;;
29;прочих предметов;75;3;1;3;8;10;50;74;6;3;8;8;10;39;1
30;учителя-логопеды;36;4;4;3;6;6;13;34;4;3;5;7;4;11;2
31;учителя-дефектологи;24;2;1;1;5;5;10;24;2;3;2;6;2;9;
32;из них:                   олигофренопедагог;7;1;1;1;;;4;7;1;1;1;;1;3;
33;тифлопедагог;;;;;;;;;;;;;;;
34;сурдопедагог;7;;;;2;1;4;7;;;;3;;4;
35;социальные педагоги;51;;3;4;7;7;30;47;3;5;7;5;4;23;4
36;педагоги дополнительного образования;44;11;;3;3;4;23;35;9;3;5;1;;17;9
37;педагоги-психологи;99;7;4;15;16;11;46;94;13;5;18;15;9;34;5
38;воспитатели;232;9;9;15;17;21;161;229;19;15;31;24;13;127;3
39;мастера производственного обучения;;;;;;;;;;;;;;;
40;тьюторы;7;1;;1;2;;3;6;2;;2;;;2;1
41;советники директора по воспитанию и взаимодействию             с детскими общественными объединениям;67;13;4;10;13;3;24;62;15;6;8;9;3;21;5
42;другие;92;11;3;5;7;13;53;86;14;6;7;9;10;40;6
43;учебно-вспомогательный персонал;362;6;8;11;37;42;258;60;2;4;6;8;2;38;302
44;иной персонал;2289;38;28;81;118;171;1853;64;8;9;7;8;3;29;2225
45;из них:             ассистент (помощник);13;;;;1;;12;2;;;;1;;1;11
46;сурдопереводчик;;;;;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;;;;;
48;Из общей численности педагогических работников (строка 06):             персонал, работающий в подразделениях (группах)             дошкольного образования;111;5;2;7;8;11;78;111;9;5;14;13;7;63;
49;из них воспитатели;104;5;1;7;7;11;73;104;9;4;14;12;6;59;
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;29;2;;2;7;4;14;28;2;2;3;6;3;12;1
51;из них учителя;21;2;;1;5;2;11;20;2;1;1;4;2;10;1
;;;;;;;;;;;;;;;;
;;Данные графы 3 по строкам 01–51 равны данным графы 3 подраздела 3.1 по соответствующим строкам 01-51.;;;;;;;;;;;;;;
