;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13
№ строки;Наименование показателей;"Всего  (сумма граф 4–9; сумма граф 11-13)";Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования (1–4 классы);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования (5–9 классы);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования (10–11(12) классы);Классы для обучающихся с ограниченными возможностями здоровья, кроме классов для обучающихся с умственной отсталостью (интеллектуальными нарушениями) программы начального общего образования;Классы для обучающихся с ограниченными возможностями здоровья, кроме классов для обучающихся с умственной отсталостью (интеллектуальными нарушениями) программы основного общего образования;Классы для обучающихся с ограниченными возможностями здоровья, кроме классов для обучающихся с умственной отсталостью (интеллектуальными нарушениями) программы среднего общего образования;Из граф 3 изучают 2-й, 3-й и более иностранные языки;Из графы 3 обучаются очно;Из графы 3 обучаются очно-заочно;Из графы 3 обучаются заочно
1;Численность обучающихся, которым в соответствии с образовательной про-граммой должны преподаваться иностранные языки (сумма строк 02, 16);292266;100440;161691;28038;560;1524;13;;290850;1087;329
2;В том числе обучающиеся, которым:       преподается иностранный язык;291149;99817;161259;27986;560;1514;13;;289733;1087;329
3;из них преподается язык:             английский;289591;99448;160356;27759;542;1473;13;1639;288175;1087;329
4;французский;1654;20;1401;233;;;;923;1654;;
5;немецкий;4321;349;3261;652;18;41;;1974;4321;;
6;итальянский;;;;;;;;;;;
7;испанский;90;;53;37;;;;90;90;;
8;китайский;1922;41;1769;112;;;;1835;1922;;
9;арабский;;;;;;;;;;;
10;португальский;;;;;;;;;;;
11;турецкий;;;;;;;;;;;
12;корейский;109;;109;;;;;109;109;;
13;японский;103;30;60;13;;;;103;103;;
14;иврит;;;;;;;;;;;
15;другие;99;;;99;;;;46;99;;
16;не преподается иностранный язык;1117;623;432;52;;10;;;1117;;
17;из строки 16 – из-за отсутствия учителя иностранного языка;757;290;415;52;;;;;757;;
18;Из строки 02 – изучают:             2 иностранных языка;6634;71;5750;813;;;;;6634;;
19;3 и более иностранных языка;65;;12;53;;;;;65;;
