;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);108;188;1582;3264
2;в том числе       инженерные;3;25;76;541
3;медицинские;6;14;133;265
4;космические;;;;
5;педагогические;40;101;523;1434
6;аграрные;;1;;5
7;предпринимательские;;1;;17
8;кадетские;56;11;799;207
9;IT-классы;;4;;103
10;другие;3;31;51;692
